WorkerId,item,construction,possessor_definiteness,possessor_length,acceptability,sentence
44,14,of,indef,long,4,I hated the manager of a store that was around the corner.
45,13,of,def,long,4,I took the toy of the child who was in first grade.
52,10,of,indef,long,5,I yelled at the owner of a boat that crashed into the pier.
29,0,s,def,long,1,I forgot the movie that I saw yesterday's title.
24,11,s,indef,long,1,I encountered a client who was guilty of a crime's lawyer.
13,12,s,def,short,5,I smelled the tree's flowers.
43,2,s,indef,short,4,I know a university's president.
1,3,s,indef,short,5,I met a man's wife.
51,14,s,indef,short,2,I hated a store's manager.
48,1,of,indef,long,5,I remembered the face of a professor who I met two days ago.
16,5,of,def,short,5,I got the autograph of the celebrity.
17,11,of,indef,long,5,I encountered the lawyer of a client who was guilty of a crime.
49,6,of,indef,short,5,I saw the driver of a car.
23,7,s,indef,short,4,I knew a doctor's patient.
3,2,s,def,long,2,I know the university that is in Maryland's president.
15,14,s,indef,long,1,I hated a store that was around the corner's manager.
6,15,of,indef,long,5,I loved the sister of a policeman who was patrolling the neighborhood.
46,0,s,indef,long,2,I forgot a movie that I saw yesterday's title.
8,9,of,indef,short,5,I read the book of a lawyer.
36,14,s,def,long,3,I hated the store that was around the corner's manager.
20,8,s,indef,short,5,I opened a cabin's door.
42,3,s,indef,short,5,I met a man's wife.
32,7,s,indef,short,3,I knew a doctor's patient.
47,1,of,indef,long,5,I remembered the face of a professor who I met two days ago.
35,7,s,indef,short,5,I knew a doctor's patient.
25,7,of,indef,long,5,I knew the patient of a doctor who worked in the hospital.
40,15,of,indef,long,5,I loved the sister of a policeman who was patrolling the neighborhood.
41,13,s,indef,long,2,I took a child who was in first grade's toy.
18,1,of,def,long,5,I remembered the face of the professor who I met two days ago.
50,12,of,def,long,5,I smelled the flowers of the tree that was in the woods.
2,10,s,indef,short,5,I yelled at a boat's owner.
27,8,of,def,short,5,I opened the door of the cabin.
39,5,of,indef,short,5,I got the autograph of a celebrity.
46,6,of,indef,long,4,I saw the driver of a car that was speeding down the street.
32,14,of,def,long,4,I hated the manager of the store that was around the corner.
26,5,of,indef,short,4,I got the autograph of a celebrity.
35,2,of,indef,long,2,I know the president of a university that is in Maryland.
51,8,s,indef,short,5,I opened a cabin's door.
54,11,s,indef,short,5,I encountered a client's lawyer.
17,4,of,def,short,5,I watched the screen of the television.
31,12,s,indef,long,3,I smelled a tree that was in the woods's flowers.
41,3,of,indef,long,5,I met the wife of a man who worked at the store.
36,3,s,indef,short,5,I met a man's wife.
10,9,s,indef,short,5,I read a lawyer's book.
49,10,of,def,short,5,I yelled at the owner of the boat.
21,15,of,indef,long,5,I loved the sister of a policeman who was patrolling the neighborhood.
44,7,of,def,short,4,I knew the patient of the doctor.
45,5,s,indef,long,1,I got a celebrity who was in a lot of movies's autograph.
12,5,of,indef,long,4,I got the autograph of a celebrity who was in a lot of movies.
29,8,of,indef,long,3,I opened the door of a cabin that was in the woods.
24,5,s,indef,long,4,I got a celebrity who was in a lot of movies's autograph.
4,4,s,def,short,5,I watched the television's screen.
48,7,s,indef,long,1,I knew a doctor who worked in the hospital's patient.
16,15,s,def,short,4,I loved the policeman's sister.
33,15,of,def,short,5,I loved the sister of the policeman.
19,12,of,def,long,5,I smelled the flowers of the tree that was in the woods.
9,2,of,indef,short,5,I know the president of a university.
32,6,s,indef,long,1,I saw a car that was speeding down the street's driver.
28,8,s,indef,long,1,I opened a cabin that was in the woods's door.
23,5,s,def,short,5,I got the celebrity's autograph.
30,0,of,indef,long,5,I forgot the title of a movie that I saw yesterday.
13,2,of,def,short,5,I know the president of the university.
14,5,s,indef,short,5,I got a celebrity's autograph.
35,9,of,def,short,4,I read the book of the lawyer.
51,2,of,def,short,5,I know the president of the university.
37,5,of,def,short,4,I got the autograph of the celebrity.
17,5,of,indef,long,5,I got the autograph of a celebrity who was in a lot of movies.
42,13,of,indef,short,2,I took the toy of a child.
47,4,of,indef,short,5,I watched the screen of a television.
22,11,of,def,short,2,I encountered the lawyer of the client.
44,15,of,indef,short,4,I loved the sister of a policeman.
52,4,of,indef,long,4,I watched the screen of a television that was very large.
29,14,of,indef,long,2,I hated the manager of a store that was around the corner.
26,1,of,def,short,4,I remembered the face of the professor.
27,6,s,indef,short,3,I saw a car's driver.
54,2,s,def,long,4,I know the university that is in Maryland's president.
31,13,s,indef,short,5,I took a child's toy.
9,6,s,indef,short,3,I saw a car's driver.
50,9,of,indef,short,5,I read the book of a lawyer.
51,5,s,def,long,2,I got the celebrity who was in a lot of movies's autograph.
4,15,of,indef,long,4,I loved the sister of a policeman who was patrolling the neighborhood.
48,15,of,def,long,4,I loved the sister of the policeman who was patrolling the neighborhood.
16,3,s,indef,short,5,I met a man's wife.
33,3,of,indef,short,4,I met the wife of a man.
42,7,of,indef,short,1,I knew the patient of a doctor.
21,4,s,def,short,5,I watched the television's screen.
11,14,s,indef,short,3,I hated a store's manager.
29,13,of,def,short,1,I took the toy of the child.
27,14,of,def,short,5,I hated the manager of the store.
37,1,s,indef,short,4,I remembered a professor's face.
3,8,of,indef,long,5,I opened the door of a cabin that was in the woods.
15,9,s,indef,short,5,I read a lawyer's book.
6,6,s,indef,short,4,I saw a car's driver.
39,7,s,def,short,5,I knew the doctor's patient.
46,5,of,def,short,5,I got the autograph of the celebrity.
38,2,s,def,short,5,I know the university's president.
31,9,of,def,short,3,I read the book of the lawyer.
34,11,of,indef,long,3,I encountered the lawyer of a client who was guilty of a crime.
45,3,s,def,long,1,I met the man who worked at the store's wife.
23,10,s,def,long,2,I yelled at the boat that crashed into the pier's owner.
12,0,s,indef,short,4,I forgot a movie's title.
30,15,of,def,short,5,I loved the sister of the policeman.
14,15,of,indef,short,2,I loved the sister of a policeman.
48,3,of,indef,long,5,I met the wife of a man who worked at the store.
7,13,s,indef,long,3,I took a child who was in first grade's toy.
20,11,s,def,long,2,I encountered the client who was guilty of a crime's lawyer.
10,4,of,indef,long,4,I watched the screen of a television that was very large.
49,5,of,indef,long,5,I got the autograph of a celebrity who was in a lot of movies.
29,7,of,def,short,2,I knew the patient of the doctor.
1,10,of,def,long,5,I yelled at the owner of the boat that crashed into the pier.
51,12,s,def,short,5,I smelled the tree's flowers.
5,5,of,indef,long,3,I got the autograph of a celebrity who was in a lot of movies.
54,0,s,def,long,2,I forgot the movie that I saw yesterday's title.
40,1,s,def,long,1,I remembered the professor who I met two days ago's face.
41,5,s,def,long,3,I got the celebrity who was in a lot of movies's autograph.
36,8,s,def,long,4,I opened the cabin that was in the woods's door.
50,11,s,indef,short,5,I encountered a client's lawyer.
21,5,s,indef,long,4,I got a celebrity who was in a lot of movies's autograph.
32,13,s,indef,short,5,I took a child's toy.
52,2,of,def,long,4,I know the president of the university that is in Maryland.
30,11,s,def,short,5,I encountered the client's lawyer.
35,10,s,def,long,3,I yelled at the boat that crashed into the pier's owner.
53,7,s,def,short,5,I knew the doctor's patient.
4,10,s,def,short,4,I yelled at the boat's owner.
48,0,of,def,short,5,I forgot the title of the movie.
15,5,of,indef,short,5,I got the autograph of a celebrity.
31,10,s,def,long,4,I yelled at the boat that crashed into the pier's owner.
19,15,of,indef,short,5,I loved the sister of a policeman.
10,5,of,indef,short,5,I got the autograph of a celebrity.
47,15,of,def,long,4,I loved the sister of the policeman who was patrolling the neighborhood.
11,10,of,indef,short,4,I yelled at the owner of a boat.
26,7,s,def,short,5,I knew the doctor's patient.
43,14,s,def,short,5,I hated the store's manager.
41,10,of,indef,short,5,I yelled at the owner of a boat.
18,10,of,def,short,5,I yelled at the owner of the boat.
36,4,of,def,long,3,I watched the screen of the television that was very large.
20,14,s,indef,short,5,I hated a store's manager.
28,0,of,def,long,5,I forgot the title of the movie that I saw yesterday.
45,0,of,indef,short,3,I forgot the title of a movie.
13,3,of,indef,long,4,I met the wife of a man who worked at the store.
1,8,s,def,long,1,I opened the cabin that was in the woods's door.
35,3,of,indef,short,3,I met the wife of a man.
25,9,s,def,long,5,I read the lawyer who was from France's book.
48,9,of,def,long,5,I read the book of the lawyer who was from France.
15,4,of,indef,long,5,I watched the screen of a television that was very large.
38,9,s,def,long,4,I read the lawyer who was from France's book.
40,8,of,def,short,5,I opened the door of the cabin.
22,7,of,indef,short,2,I knew the patient of a doctor.
51,15,of,def,long,4,I loved the sister of the policeman who was patrolling the neighborhood.
16,10,of,def,long,5,I yelled at the owner of the boat that crashed into the pier.
7,5,s,def,long,2,I got the celebrity who was in a lot of movies's autograph.
36,2,s,indef,long,2,I know a university that is in Maryland's president.
19,2,s,def,long,1,I know the university that is in Maryland's president.
20,15,of,def,long,5,I loved the sister of the policeman who was patrolling the neighborhood.
32,8,of,def,long,4,I opened the door of the cabin that was in the woods.
24,8,of,def,short,5,I opened the door of the cabin.
1,11,of,def,short,5,I encountered the lawyer of the client.
48,5,s,def,long,3,I got the celebrity who was in a lot of movies's autograph.
54,3,s,def,short,5,I met the man's wife.
39,3,of,def,short,4,I met the wife of the man.
17,15,s,indef,long,1,I loved a policeman who was patrolling the neighborhood's sister.
9,8,of,def,short,5,I opened the door of the cabin.
43,9,s,indef,long,2,I read a lawyer who was from France's book.
5,3,of,def,long,4,I met the wife of the man who worked at the store.
38,1,s,indef,long,5,I remembered a professor who I met two days ago's face.
49,4,of,def,short,5,I watched the screen of the television.
50,4,s,indef,long,1,I watched a television that was very large's screen.
32,0,of,indef,long,4,I forgot the title of a movie that I saw yesterday.
45,8,of,def,short,5,I opened the door of the cabin.
26,2,of,def,long,3,I know the president of the university that is in Maryland.
41,15,of,def,long,5,I loved the sister of the policeman who was patrolling the neighborhood.
36,5,of,def,short,5,I got the autograph of the celebrity.
42,10,of,def,long,5,I yelled at the owner of the boat that crashed into the pier.
12,14,s,def,short,5,I hated the store's manager.
51,7,s,indef,long,1,I knew a doctor who worked in the hospital's patient.
37,4,of,def,long,4,I watched the screen of the television that was very large.
54,10,s,indef,long,4,I yelled at a boat that crashed into the pier's owner.
7,15,of,def,long,1,I loved the sister of the policeman who was patrolling the neighborhood.
10,8,s,indef,long,2,I opened a cabin that was in the woods's door.
13,8,s,indef,short,4,I opened a cabin's door.
53,10,of,indef,long,3,I yelled at the owner of a boat that crashed into the pier.
3,3,s,def,short,5,I met the man's wife.
48,12,s,def,short,5,I smelled the tree's flowers.
33,4,s,def,long,2,I watched the television that was very large's screen.
39,12,s,def,long,3,I smelled the tree that was in the woods's flowers.
46,10,of,def,long,4,I yelled at the owner of the boat that crashed into the pier.
18,3,of,def,long,5,I met the wife of the man who worked at the store.
49,0,s,indef,short,5,I forgot a movie's title.
42,8,s,def,long,1,I opened the cabin that was in the woods's door.
50,10,s,indef,long,5,I yelled at a boat that crashed into the pier's owner.
34,9,s,indef,long,2,I read a lawyer who was from France's book.
44,11,s,indef,short,5,I encountered a client's lawyer.
11,12,s,def,short,5,I smelled the tree's flowers.
52,15,s,indef,short,5,I loved a policeman's sister.
1,1,s,indef,short,5,I remembered a professor's face.
37,10,of,def,long,5,I yelled at the owner of the boat that crashed into the pier.
16,2,s,indef,long,1,I know a university that is in Maryland's president.
54,13,of,def,short,4,I took the toy of the child.
17,2,s,indef,short,5,I know a university's president.
31,7,s,indef,short,3,I knew a doctor's patient.
23,4,s,def,long,1,I watched the television that was very large's screen.
12,9,s,indef,long,1,I read a lawyer who was from France's book.
30,9,of,def,short,3,I read the book of the lawyer.
2,7,of,indef,long,3,I knew the patient of a doctor who worked in the hospital.
14,9,of,indef,short,2,I read the book of a lawyer.
4,11,s,indef,long,1,I encountered a client who was guilty of a crime's lawyer.
5,10,of,def,short,5,I yelled at the owner of the boat.
6,7,of,def,long,2,I knew the patient of the doctor who worked in the hospital.
36,13,of,indef,short,3,I took the toy of a child.
50,1,s,def,short,5,I remembered the professor's face.
32,5,s,def,short,4,I got the celebrity's autograph.
22,9,s,def,short,5,I read the lawyer's book.
45,10,s,def,short,5,I yelled at the boat's owner.
24,4,s,def,short,5,I watched the television's screen.
43,6,of,indef,short,4,I saw the driver of a car.
25,12,of,def,short,5,I smelled the flowers of the tree.
41,4,of,indef,short,1,I watched the screen of a television.
49,1,of,def,long,5,I remembered the face of the professor who I met two days ago.
30,12,s,indef,long,2,I smelled a tree that was in the woods's flowers.
13,10,of,indef,short,5,I yelled at the owner of a boat.
53,9,s,indef,short,5,I read a lawyer's book.
37,3,s,indef,short,5,I met a man's wife.
33,10,s,def,long,2,I yelled at the boat that crashed into the pier's owner.
7,2,of,def,short,5,I know the president of the university.
39,13,s,def,short,5,I took the child's toy.
17,13,s,def,long,1,I took the child who was in first grade's toy.
36,7,of,indef,short,2,I knew the patient of a doctor.
32,15,of,def,short,3,I loved the sister of the policeman.
34,10,of,def,short,5,I yelled at the owner of the boat.
44,10,s,indef,long,4,I yelled at a boat that crashed into the pier's owner.
11,3,of,indef,long,4,I met the wife of a man who worked at the store.
12,8,s,def,short,5,I opened the cabin's door.
43,7,s,def,long,3,I knew the doctor who worked in the hospital's patient.
48,4,of,indef,short,5,I watched the screen of a television.
8,1,s,def,short,5,I remembered the professor's face.
31,6,s,indef,long,1,I saw a car that was speeding down the street's driver.
18,8,s,def,short,5,I opened the cabin's door.
42,11,of,def,short,4,I encountered the lawyer of the client.
21,6,s,indef,short,5,I saw a car's driver.
22,3,s,indef,short,5,I met a man's wife.
1,13,of,indef,short,5,I took the toy of a child.
2,0,s,def,short,5,I forgot the movie's title.
14,11,s,indef,short,3,I encountered a client's lawyer.
25,10,s,indef,short,5,I yelled at a boat's owner.
16,12,of,indef,long,5,I smelled the flowers of a tree that was in the woods.
39,0,of,def,long,5,I forgot the title of the movie that I saw yesterday.
46,14,s,def,long,2,I hated the store that was around the corner's manager.
10,15,s,indef,short,5,I loved a policeman's sister.
49,13,s,def,long,2,I took the child who was in first grade's toy.
47,0,of,def,short,5,I forgot the title of the movie.
44,6,of,def,long,4,I saw the driver of the car that was speeding down the street.
52,0,of,def,long,5,I forgot the title of the movie that I saw yesterday.
43,5,of,indef,long,5,I got the autograph of a celebrity who was in a lot of movies.
27,4,s,def,short,3,I watched the television's screen.
4,8,of,def,short,5,I opened the door of the cabin.
33,9,of,def,short,3,I read the book of the lawyer.
7,10,of,indef,short,5,I yelled at the owner of a boat.
17,10,of,def,short,5,I yelled at the owner of the boat.
19,6,of,def,long,5,I saw the driver of the car that was speeding down the street.
12,2,s,indef,short,2,I know a university's president.
37,11,of,def,short,3,I encountered the lawyer of the client.
54,12,of,def,long,2,I smelled the flowers of the tree that was in the woods.
46,11,of,def,short,4,I encountered the lawyer of the client.
42,2,s,indef,long,1,I know a university that is in Maryland's president.
32,10,s,def,long,2,I yelled at the boat that crashed into the pier's owner.
52,13,s,def,short,5,I took the child's toy.
43,11,of,indef,long,4,I encountered the lawyer of a client who was guilty of a crime.
51,3,of,indef,long,4,I met the wife of a man who worked at the store.
33,7,s,indef,short,3,I knew a doctor's patient.
38,11,of,def,long,5,I encountered the lawyer of the client who was guilty of a crime.
19,3,s,def,short,5,I met the man's wife.
21,10,s,def,short,5,I yelled at the boat's owner.
28,13,s,def,short,5,I took the child's toy.
34,15,s,indef,long,1,I loved a policeman who was patrolling the neighborhood's sister.
26,14,s,indef,long,1,I hated a store that was around the corner's manager.
2,6,of,def,short,3,I saw the driver of the car.
27,11,s,indef,long,1,I encountered a client who was guilty of a crime's lawyer.
53,6,s,def,long,1,I saw the car that was speeding down the street's driver.
5,6,of,indef,short,5,I saw the driver of a car.
16,7,of,indef,short,5,I knew the patient of a doctor.
40,7,of,def,long,4,I knew the patient of the doctor who worked in the hospital.
10,3,of,def,short,2,I met the wife of the man.
44,5,s,indef,short,5,I got a celebrity's autograph.
48,14,s,indef,short,5,I hated a store's manager.
54,1,s,def,short,5,I remembered the professor's face.
39,11,of,indef,short,4,I encountered the lawyer of a client.
45,2,of,indef,short,5,I know the president of a university.
2,8,of,indef,short,5,I opened the door of a cabin.
46,8,s,def,long,2,I opened the cabin that was in the woods's door.
50,0,s,def,long,3,I forgot the movie that I saw yesterday's title.
34,1,of,def,long,3,I remembered the face of the professor who I met two days ago.
22,15,s,def,short,5,I loved the policeman's sister.
44,2,s,def,long,5,I know the university that is in Maryland's president.
53,14,s,indef,long,1,I hated a store that was around the corner's manager.
25,0,s,def,short,5,I forgot the movie's title.
3,7,of,def,short,5,I knew the patient of the doctor.
48,10,of,indef,short,5,I yelled at the owner of a boat.
54,15,of,indef,short,4,I loved the sister of a policeman.
38,3,s,indef,long,4,I met a man who worked at the store's wife.
31,1,of,indef,short,5,I remembered the face of a professor.
18,6,of,indef,short,5,I saw the driver of a car.
36,0,s,indef,long,4,I forgot a movie that I saw yesterday's title.
10,1,of,def,short,5,I remembered the face of the professor.
12,10,of,def,short,5,I yelled at the owner of the boat.
2,2,s,def,short,5,I know the university's president.
14,13,of,def,short,2,I took the toy of the child.
37,2,s,indef,long,1,I know a university that is in Maryland's president.
4,0,of,indef,short,5,I forgot the title of a movie.
5,13,s,def,long,4,I took the child who was in first grade's toy.
40,14,of,def,short,5,I hated the manager of the store.
41,8,s,indef,short,5,I opened a cabin's door.
19,7,of,def,short,5,I knew the patient of the doctor.
50,2,s,def,long,3,I know the university that is in Maryland's president.
21,9,of,indef,long,4,I read the book of a lawyer who was from France.
34,8,s,def,short,5,I opened the cabin's door.
22,5,of,def,short,4,I got the autograph of the celebrity.
44,12,of,def,long,5,I smelled the flowers of the tree that was in the woods.
52,8,s,indef,long,2,I opened a cabin that was in the woods's door.
30,8,of,def,long,4,I opened the door of the cabin that was in the woods.
