WorkerId,item,construction,theme_length,theme_definiteness,recip_length,recip_definiteness,acceptability,sentence
52,4,po,long,definite,long,definite,3,The lawyer sent the message that contained confidential information to the client who was awaiting trial.
6,12,po,short,definite,short,indefinite,5,The librarian loaned a novel to the retiree.
22,13,po,long,definite,long,definite,5,The boss offered the raise that was long overdue to the employee who had been working for many years.
8,10,do,long,indefinite,short,definite,2,The caterer brought a man the meal that was specially prepared.
54,7,po,long,definite,long,definite,5,The student showed the report that she had written for a class to the classmate who was studying for a final.
48,14,do,long,indefinite,short,indefinite,5,The teacher taught a student a song that was very catchy.
9,8,do,short,definite,short,indefinite,3,The child kicked the playmate a ball.
30,4,po,short,definite,long,definite,5,The lawyer sent the message to the client who was awaiting trial.
4,9,po,short,definite,long,indefinite,4,The spy told a secret to the agent who was working for a foreign government.
5,9,po,long,indefinite,short,indefinite,4,The spy told a secret that was highly sensitive to an agent.
17,2,do,long,definite,short,indefinite,4,The quarterback threw the teammate a football that was slightly deflated.
31,9,do,short,definite,long,definite,4,The spy told the agent who was working for a foreign government the secret.
18,10,po,short,definite,short,definite,5,The caterer brought the meal to the man.
36,11,po,long,indefinite,short,indefinite,5,The nurse mailed a report that was about the test results to a patient.
32,14,do,short,indefinite,short,definite,5,The teacher taught a student the song.
33,7,do,long,indefinite,short,indefinite,3,The student showed a classmate a report that she had written for a class.
29,3,po,short,definite,short,definite,5,The mailman delivered the package to the professor.
3,14,po,long,indefinite,short,definite,4,The teacher taught the song that was very catchy to a student.
52,13,do,short,definite,short,indefinite,5,The boss offered the employee a raise.
16,0,do,long,definite,long,indefinite,5,The man gave the woman who enjoyed birdwatching a book that was about birds.
49,3,do,short,definite,long,definite,2,The mailman delivered the professor who lived in an apartment the package.
42,15,po,long,definite,long,indefinite,5,The salesman sold a car that had a lot of miles to the teenager who had come into some money.
48,6,do,short,indefinite,long,indefinite,4,The professor granted a student who suffered from a rare illness an extension.
51,6,do,short,definite,short,indefinite,5,The professor granted the student an extension.
2,12,po,short,indefinite,long,definite,4,The librarian loaned the novel to a retiree who was looking for reading material.
40,13,po,long,definite,long,definite,4,The boss offered the raise that was long overdue to the employee who had been working for many years.
12,5,po,long,definite,long,definite,5,The doctor handed the form that contained patient information to the nurse who was standing in the hallway.
31,0,po,short,definite,long,indefinite,5,The man gave a book to the woman who enjoyed birdwatching.
18,11,po,short,definite,short,indefinite,5,The nurse mailed a report to the patient.
28,0,do,long,indefinite,short,indefinite,3,The man gave a woman a book that was about birds.
23,12,do,long,indefinite,short,definite,4,The librarian loaned a retiree the novel that was about the future.
39,0,do,long,definite,long,definite,3,The man gave the woman who enjoyed birdwatching the book that was about birds.
9,3,do,long,indefinite,short,definite,4,The mailman delivered a professor the package that contained a book.
33,14,do,long,definite,long,definite,1,The teacher taught the student who had a strong singing voice the song that was very catchy.
27,5,po,short,indefinite,short,definite,5,The doctor handed the form to a nurse.
44,2,po,long,indefinite,long,definite,5,The quarterback threw the football that was slightly deflated to a teammate who was in the endzone.
4,10,do,short,indefinite,long,definite,3,The caterer brought a man who was in a nursing home the meal.
11,11,do,short,indefinite,long,definite,2,The nurse mailed a patient who had some blood work done the report.
24,15,do,long,indefinite,long,indefinite,4,The salesman sold a teenager who had come into some money a car that had a lot of miles.
6,14,po,short,indefinite,long,indefinite,4,The teacher taught a song to a student who had a strong singing voice.
20,5,po,short,indefinite,long,indefinite,4,The doctor handed a form to a nurse who was standing in the hallway.
41,9,po,short,definite,short,indefinite,5,The spy told a secret to the agent.
54,5,do,short,indefinite,short,definite,5,The doctor handed a nurse the form.
26,2,do,long,indefinite,short,definite,5,The quarterback threw a teammate the football that was slightly deflated.
34,3,po,short,indefinite,short,indefinite,5,The mailman delivered a package to a professor.
50,12,po,short,definite,long,definite,2,The librarian loaned the novel to the retiree who was looking for reading material.
45,0,do,short,indefinite,short,indefinite,4,The man gave a woman a book.
49,12,do,long,definite,short,indefinite,5,The librarian loaned the retiree a novel that was about the future.
31,3,do,long,definite,short,definite,4,The mailman delivered the professor the package that contained a book.
7,0,po,long,definite,short,indefinite,4,The man gave a book that was about birds to the woman.
28,8,po,long,indefinite,long,indefinite,4,The child kicked a ball that was on the grass to a playmate who was several feet away.
39,3,do,short,definite,long,indefinite,2,The mailman delivered the professor who lived in an apartment a package.
51,0,po,short,indefinite,short,indefinite,5,The man gave a book to a woman.
46,5,do,long,indefinite,short,indefinite,4,The doctor handed a nurse a form that contained patient information.
29,13,po,long,indefinite,short,definite,4,The boss offered the raise that was long overdue to an employee.
3,3,po,short,definite,long,indefinite,3,The mailman delivered a package to the professor who lived in an apartment.
40,3,po,long,indefinite,long,definite,5,The mailman delivered the package that contained a book to a professor who lived in an apartment.
15,10,do,long,indefinite,long,definite,4,The caterer brought a man who was in a nursing home the meal that was specially prepared.
24,2,do,long,indefinite,short,definite,NA,The quarterback threw a teammate the football that was slightly deflated.
6,6,do,long,definite,short,indefinite,4,The professor granted the student an extension that was rarely allowed.
19,13,po,short,definite,short,indefinite,5,The boss offered a raise to the employee.
36,5,po,short,indefinite,short,indefinite,5,The doctor handed a form to a nurse.
53,3,po,short,definite,short,definite,5,The mailman delivered the package to the professor.
42,12,do,short,indefinite,short,definite,5,The librarian loaned a retiree the novel.
9,13,do,long,definite,short,definite,4,The boss offered the employee the raise that was long overdue.
10,0,po,short,definite,short,indefinite,5,The man gave a book to the woman.
2,1,po,short,definite,long,indefinite,4,The waiter handed a cup to the customer who was sitting at the table.
45,14,po,long,indefinite,long,indefinite,2,The teacher taught a song that was very catchy to a student who had a strong singing voice.
4,0,do,short,definite,short,definite,5,The man gave the woman the book.
47,10,do,short,definite,long,indefinite,3,The caterer brought the man who was in a nursing home a meal.
13,12,do,short,definite,long,definite,2,The librarian loaned the retiree who was looking for reading material the novel.
43,4,do,long,indefinite,short,definite,5,The lawyer sent a client the message that contained confidential information.
20,15,po,short,definite,long,indefinite,4,The salesman sold a car to the teenager who had come into some money.
48,4,do,short,definite,short,indefinite,5,The lawyer sent the client a message.
39,15,do,long,indefinite,short,indefinite,4,The salesman sold a teenager a car that had a lot of miles.
51,15,do,long,indefinite,short,definite,4,The salesman sold a teenager the car that had a lot of miles.
34,11,po,short,definite,long,indefinite,4,The nurse mailed a report to the patient who had some blood work done.
44,3,po,long,indefinite,long,indefinite,4,The mailman delivered a package that contained a book to a professor who lived in an apartment.
5,4,po,long,definite,short,definite,5,The lawyer sent the message that contained confidential information to the client.
42,10,do,short,indefinite,long,definite,4,The caterer brought a man who was in a nursing home the meal.
38,8,po,long,indefinite,short,indefinite,4,The child kicked a ball that was on the grass to a playmate.
54,3,do,short,indefinite,long,definite,2,The mailman delivered a professor who lived in an apartment the package.
33,0,po,short,definite,short,definite,5,The man gave the book to the woman.
1,5,do,long,indefinite,long,definite,2,The doctor handed a nurse who was standing in the hallway the form that contained patient information.
2,0,po,short,definite,long,definite,4,The man gave the book to the woman who enjoyed birdwatching.
50,8,do,long,definite,short,definite,4,The child kicked the playmate the ball that was on the grass.
30,6,po,short,definite,short,definite,5,The professor granted the extension to the student.
11,15,po,long,definite,long,definite,5,The salesman sold the car that had a lot of miles to the teenager who had come into some money.
13,6,po,long,definite,long,definite,4,The professor granted the extension that was rarely allowed to the student who suffered from a rare illness.
14,4,do,short,indefinite,long,indefinite,4,The lawyer sent a client who was awaiting trial a message.
17,4,do,long,indefinite,long,indefinite,5,The lawyer sent a client who was awaiting trial a message that contained confidential information.
37,12,po,long,definite,short,definite,3,The librarian loaned the novel that was about the future to the retiree.
32,12,do,short,indefinite,long,definite,3,The librarian loaned a retiree who was looking for reading material the novel.
23,10,do,long,indefinite,long,definite,4,The caterer brought a man who was in a nursing home the meal that was specially prepared.
10,3,do,long,indefinite,long,definite,2,The mailman delivered a professor who lived in an apartment the package that contained a book.
27,10,po,long,indefinite,long,indefinite,5,The caterer brought a meal that was specially prepared to a man who was in a nursing home.
47,4,po,long,definite,long,indefinite,5,The lawyer sent a message that contained confidential information to the client who was awaiting trial.
12,12,do,short,definite,long,indefinite,5,The librarian loaned the retiree who was looking for reading material a novel.
18,9,do,long,indefinite,short,indefinite,2,The spy told an agent a secret that was highly sensitive.
36,14,po,short,definite,short,definite,5,The teacher taught the song to the student.
53,0,po,long,definite,long,indefinite,4,The man gave a book that was about birds to the woman who enjoyed birdwatching.
25,4,po,short,definite,short,definite,5,The lawyer sent the message to the client.
42,5,po,long,indefinite,long,indefinite,5,The doctor handed a form that contained patient information to a nurse who was standing in the hallway.
28,12,do,short,definite,short,indefinite,4,The librarian loaned the retiree a novel.
34,0,po,long,indefinite,short,definite,3,The man gave the book that was about birds to a woman.
29,0,po,long,definite,long,indefinite,5,The man gave a book that was about birds to the woman who enjoyed birdwatching.
16,1,do,long,definite,short,definite,5,The waiter handed the customer the cup that was full of water.
49,15,do,long,indefinite,short,definite,5,The salesman sold a teenager the car that had a lot of miles.
38,0,do,short,definite,long,indefinite,4,The man gave the woman who enjoyed birdwatching a book.
54,0,do,long,definite,short,indefinite,5,The man gave the woman a book that was about birds.
48,8,do,short,indefinite,short,indefinite,2,The child kicked a playmate a ball.
39,4,do,short,definite,short,definite,5,The lawyer sent the client the message.
46,9,do,short,definite,short,indefinite,5,The spy told the agent a secret.
33,12,po,short,indefinite,short,definite,4,The librarian loaned the novel to a retiree.
2,9,do,long,indefinite,short,indefinite,4,The spy told an agent a secret that was highly sensitive.
35,8,do,long,definite,short,indefinite,5,The child kicked the playmate a ball that was on the grass.
50,5,po,short,indefinite,short,indefinite,5,The doctor handed a form to a nurse.
52,8,po,long,indefinite,long,definite,3,The child kicked the ball that was on the grass to a playmate who was several feet away.
43,15,do,long,definite,short,indefinite,5,The salesman sold the teenager a car that had a lot of miles.
6,9,do,long,indefinite,short,definite,5,The spy told an agent the secret that was highly sensitive.
41,3,po,long,indefinite,long,indefinite,4,The mailman delivered a package that contained a book to a professor who lived in an apartment.
23,6,do,short,indefinite,short,definite,5,The professor granted a student the extension.
51,11,do,long,definite,short,definite,4,The nurse mailed the patient the report that was about the test results.
9,4,do,long,indefinite,short,indefinite,4,The lawyer sent a client a message that contained confidential information.
27,6,po,short,indefinite,short,indefinite,5,The professor granted an extension to a student.
29,2,po,short,definite,long,indefinite,5,The quarterback threw a football to the teammate who was in the endzone.
45,4,po,short,definite,long,indefinite,5,The lawyer sent a message to the client who was awaiting trial.
40,11,do,short,indefinite,short,definite,2,The nurse mailed a patient the report.
11,1,do,short,definite,short,definite,5,The waiter handed the customer the cup.
47,12,do,short,definite,short,indefinite,5,The librarian loaned the retiree a novel.
15,4,do,short,indefinite,long,definite,2,The lawyer sent a client who was awaiting trial the message.
16,8,do,short,indefinite,short,indefinite,2,The child kicked a playmate a ball.
49,4,do,short,definite,long,indefinite,4,The lawyer sent the client who was awaiting trial a message.
31,13,po,short,indefinite,short,definite,5,The boss offered the raise to an employee.
39,11,do,long,definite,short,indefinite,3,The nurse mailed the patient a report that was about the test results.
50,9,do,long,definite,short,indefinite,4,The spy told the agent a secret that was highly sensitive.
3,12,po,long,indefinite,long,definite,5,The librarian loaned the novel that was about the future to a retiree who was looking for reading material.
30,1,do,short,indefinite,short,indefinite,5,The waiter handed a customer a cup.
4,13,do,short,indefinite,short,indefinite,4,The boss offered an employee a raise.
5,1,do,short,definite,long,indefinite,4,The waiter handed the customer who was sitting at the table a cup.
21,13,po,long,indefinite,long,definite,2,The boss offered the raise that was long overdue to an employee who had been working for many years.
37,5,po,short,definite,long,indefinite,4,The doctor handed a form to the nurse who was standing in the hallway.
23,8,po,long,definite,long,definite,4,The child kicked the ball that was on the grass to the playmate who was several feet away.
48,0,do,long,definite,long,indefinite,4,The man gave the woman who enjoyed birdwatching a book that was about birds.
51,4,do,short,definite,long,indefinite,4,The lawyer sent the client who was awaiting trial a message.
10,10,po,short,indefinite,long,indefinite,5,The caterer brought a meal to a man who was in a nursing home.
33,2,do,long,definite,short,definite,2,The quarterback threw the teammate the football that was slightly deflated.
27,7,do,long,definite,long,definite,4,The student showed the classmate who was studying for a final the report that she had written for a class.
47,15,do,short,indefinite,short,definite,5,The salesman sold a teenager the car.
12,14,do,short,definite,short,indefinite,5,The teacher taught the student a song.
15,5,do,short,indefinite,long,indefinite,4,The doctor handed a nurse who was standing in the hallway a form.
36,8,do,long,definite,short,definite,3,The child kicked the playmate the ball that was on the grass.
53,2,po,short,definite,long,indefinite,5,The quarterback threw a football to the teammate who was in the endzone.
22,0,do,short,definite,short,indefinite,5,The man gave the woman a book.
39,1,do,long,definite,long,indefinite,3,The waiter handed the customer who was sitting at the table a cup that was full of water.
50,15,po,short,definite,short,indefinite,5,The salesman sold a car to the teenager.
43,8,do,short,definite,short,definite,4,The child kicked the playmate the ball.
54,9,po,long,definite,short,definite,2,The spy told the secret that was highly sensitive to the agent.
51,13,do,long,indefinite,long,definite,4,The boss offered an employee who had been working for many years the raise that was long overdue.
34,10,po,short,definite,long,definite,4,The caterer brought the meal to the man who was in a nursing home.
35,3,po,short,indefinite,short,definite,5,The mailman delivered the package to a professor.
29,6,po,short,indefinite,long,indefinite,5,The professor granted an extension to a student who suffered from a rare illness.
3,2,po,short,definite,long,definite,5,The quarterback threw the football to the teammate who was in the endzone.
12,3,do,short,indefinite,short,definite,5,The mailman delivered a professor the package.
6,13,po,short,indefinite,long,definite,5,The boss offered the raise to an employee who had been working for many years.
19,5,do,long,definite,long,indefinite,4,The doctor handed the nurse who was standing in the hallway a form that contained patient information.
20,3,po,short,definite,short,indefinite,5,The mailman delivered a package to the professor.
38,9,po,short,definite,long,definite,4,The spy told the secret to the agent who was working for a foreign government.
49,11,do,long,definite,short,definite,5,The nurse mailed the patient the report that was about the test results.
18,4,do,long,definite,short,definite,2,The lawyer sent the client the message that contained confidential information.
7,13,po,short,definite,long,definite,4,The boss offered the raise to the employee who had been working for many years.
28,10,do,short,definite,long,indefinite,4,The caterer brought the man who was in a nursing home a meal.
39,13,do,long,indefinite,long,indefinite,4,The boss offered an employee who had been working for many years a raise that was long overdue.
4,11,do,short,indefinite,long,indefinite,3,The nurse mailed a patient who had some blood work done a report.
5,8,po,long,indefinite,short,definite,4,The child kicked the ball that was on the grass to a playmate.
17,12,po,short,indefinite,short,indefinite,4,The librarian loaned a novel to a retiree.
36,6,do,long,definite,long,definite,5,The professor granted the student who suffered from a rare illness the extension that was rarely allowed.
25,14,po,long,indefinite,short,definite,4,The teacher taught the song that was very catchy to a student.
41,15,po,long,definite,short,indefinite,4,The salesman sold a car that had a lot of miles to the teenager.
38,15,po,long,definite,long,definite,3,The salesman sold the car that had a lot of miles to the teenager who had come into some money.
50,4,po,short,indefinite,short,definite,5,The lawyer sent the message to a client.
29,5,po,short,indefinite,long,definite,5,The doctor handed the form to a nurse who was standing in the hallway.
24,14,do,long,indefinite,long,definite,2,The teacher taught a student who had a strong singing voice the song that was very catchy.
18,0,po,short,definite,long,definite,1,The man gave the book to the woman who enjoyed birdwatching.
21,10,po,long,definite,long,indefinite,4,The caterer brought a meal that was specially prepared to the man who was in a nursing home.
8,6,po,long,definite,long,definite,1,The professor granted the extension that was rarely allowed to the student who suffered from a rare illness.
54,1,do,long,indefinite,long,definite,4,The waiter handed a customer who was sitting at the table the cup that was full of water.
48,13,do,long,indefinite,short,definite,4,The boss offered an employee the raise that was long overdue.
26,14,do,long,indefinite,long,definite,5,The teacher taught a student who had a strong singing voice the song that was very catchy.
46,2,do,long,indefinite,long,definite,3,The quarterback threw a teammate who was in the endzone the football that was slightly deflated.
13,7,po,long,definite,long,indefinite,5,The student showed a report that she had written for a class to the classmate who was studying for a final.
14,15,do,short,definite,short,definite,4,The salesman sold the teenager the car.
49,0,po,short,indefinite,short,indefinite,5,The man gave a book to a woman.
17,14,do,long,definite,long,indefinite,5,The teacher taught the student who had a strong singing voice a song that was very catchy.
31,2,do,long,definite,long,indefinite,4,The quarterback threw the teammate who was in the endzone a football that was slightly deflated.
37,4,po,short,definite,long,definite,5,The lawyer sent the message to the client who was awaiting trial.
22,1,do,short,indefinite,long,definite,2,The waiter handed a customer who was sitting at the table the cup.
42,11,do,short,indefinite,long,indefinite,4,The nurse mailed a patient who had some blood work done a report.
35,4,po,short,indefinite,short,indefinite,5,The lawyer sent a message to a client.
50,0,po,long,indefinite,long,definite,4,The man gave the book that was about birds to a woman who enjoyed birdwatching.
3,10,po,long,definite,short,definite,5,The caterer brought the meal that was specially prepared to the man.
5,11,do,short,definite,short,indefinite,5,The nurse mailed the patient a report.
52,15,do,short,indefinite,long,indefinite,3,The salesman sold a teenager who had come into some money a car.
21,0,do,short,indefinite,short,indefinite,5,The man gave a woman a book.
48,11,do,long,indefinite,long,definite,1,The nurse mailed a patient who had some blood work done the report that was about the test results.
10,4,do,long,indefinite,long,indefinite,4,The lawyer sent a client who was awaiting trial a message that contained confidential information.
1,11,po,short,indefinite,long,definite,5,The nurse mailed the report to a patient who had some blood work done.
40,0,do,short,definite,short,indefinite,4,The man gave the woman a book.
12,8,po,long,definite,short,indefinite,4,The child kicked a ball that was on the grass to the playmate.
19,0,po,long,indefinite,short,definite,4,The man gave the book that was about birds to a woman.
7,14,po,short,definite,long,indefinite,4,The teacher taught a song to the student who had a strong singing voice.
53,11,po,long,indefinite,long,definite,4,The nurse mailed the report that was about the test results to a patient who had some blood work done.
28,6,po,long,definite,short,indefinite,5,The professor granted an extension that was rarely allowed to the student.
8,7,po,long,definite,long,indefinite,2,The student showed a report that she had written for a class to the classmate who was studying for a final.
54,4,do,short,indefinite,long,indefinite,4,The lawyer sent a client who was awaiting trial a message.
27,4,po,short,indefinite,long,indefinite,4,The lawyer sent a message to a client who was awaiting trial.
4,15,po,long,definite,long,indefinite,5,The salesman sold a car that had a lot of miles to the teenager who had come into some money.
11,12,do,short,indefinite,long,indefinite,4,The librarian loaned a retiree who was looking for reading material a novel.
52,11,do,short,definite,long,indefinite,4,The nurse mailed the patient who had some blood work done a report.
13,11,do,long,indefinite,short,indefinite,5,The nurse mailed a patient a report that was about the test results.
14,10,do,long,indefinite,long,indefinite,3,The caterer brought a man who was in a nursing home a meal that was specially prepared.
43,3,do,long,indefinite,long,indefinite,1,The mailman delivered a professor who lived in an apartment a package that contained a book.
21,1,po,long,definite,long,definite,2,The waiter handed the cup that was full of water to the customer who was sitting at the table.
51,1,do,long,definite,long,definite,4,The waiter handed the customer who was sitting at the table the cup that was full of water.
9,6,do,short,definite,long,indefinite,3,The professor granted the student who suffered from a rare illness an extension.
2,4,do,long,definite,short,definite,4,The lawyer sent the client the message that contained confidential information.
34,9,do,long,indefinite,long,indefinite,3,The spy told an agent who was working for a foreign government a secret that was highly sensitive.
16,12,do,long,indefinite,long,indefinite,5,The librarian loaned a retiree who was looking for reading material a novel that was about the future.
49,9,do,short,indefinite,short,definite,5,The spy told an agent the secret.
31,7,do,long,indefinite,short,definite,5,The student showed a classmate the report that she had written for a class.
53,5,po,short,indefinite,long,definite,5,The doctor handed the form to a nurse who was standing in the hallway.
38,3,po,long,definite,short,definite,4,The mailman delivered the package that contained a book to the professor.
48,2,do,short,definite,long,indefinite,4,The quarterback threw the teammate who was in the endzone a football.
50,6,do,long,definite,long,definite,2,The professor granted the student who suffered from a rare illness the extension that was rarely allowed.
40,10,do,short,indefinite,long,indefinite,4,The caterer brought a man who was in a nursing home a meal.
11,6,po,long,indefinite,long,indefinite,5,The professor granted an extension that was rarely allowed to a student who suffered from a rare illness.
47,0,do,long,indefinite,short,indefinite,5,The man gave a woman a book that was about birds.
52,1,do,long,indefinite,short,indefinite,3,The waiter handed a customer a cup that was full of water.
6,15,po,short,indefinite,short,definite,5,The salesman sold the car to a teenager.
23,1,do,long,definite,short,indefinite,4,The waiter handed the customer a cup that was full of water.
51,9,do,short,indefinite,short,definite,4,The spy told an agent the secret.
45,9,po,short,indefinite,short,definite,4,The spy told the secret to an agent.
13,2,do,short,indefinite,long,definite,2,The quarterback threw a teammate who was in the endzone the football.
19,6,do,long,definite,short,definite,2,The professor granted the student the extension that was rarely allowed.
36,7,do,long,definite,long,indefinite,4,The student showed the classmate who was studying for a final a report that she had written for a class.
41,1,do,short,indefinite,long,indefinite,4,The waiter handed a customer who was sitting at the table a cup.
32,8,po,long,indefinite,short,definite,5,The child kicked the ball that was on the grass to a playmate.
48,7,do,short,indefinite,short,definite,5,The student showed a classmate the report.
39,12,do,long,indefinite,long,definite,2,The librarian loaned a retiree who was looking for reading material the novel that was about the future.
26,6,do,short,definite,short,definite,5,The professor granted the student the extension.
35,2,po,short,indefinite,long,indefinite,5,The quarterback threw a football to a teammate who was in the endzone.
27,11,po,long,indefinite,short,definite,4,The nurse mailed the report that was about the test results to a patient.
30,15,po,long,indefinite,long,indefinite,4,The salesman sold a car that had a lot of miles to a teenager who had come into some money.
44,9,po,short,definite,short,indefinite,5,The spy told a secret to the agent.
47,14,do,short,indefinite,long,indefinite,5,The teacher taught a student who had a strong singing voice a song.
12,1,do,long,indefinite,short,definite,5,The waiter handed a customer the cup that was full of water.
24,13,do,long,definite,short,indefinite,4,The boss offered the employee a raise that was long overdue.
7,12,po,long,indefinite,short,indefinite,5,The librarian loaned a novel that was about the future to a retiree.
22,3,po,long,indefinite,long,definite,5,The mailman delivered the package that contained a book to a professor who lived in an apartment.
38,14,do,short,indefinite,short,indefinite,5,The teacher taught a student a song.
46,6,do,short,definite,long,definite,4,The professor granted the student who suffered from a rare illness the extension.
34,6,do,long,definite,short,definite,5,The professor granted the student the extension that was rarely allowed.
5,15,do,short,indefinite,short,indefinite,4,The salesman sold a teenager a car.
25,10,po,long,definite,short,definite,4,The caterer brought the meal that was specially prepared to the man.
21,15,po,long,indefinite,short,definite,4,The salesman sold the car that had a lot of miles to a teenager.
42,7,po,long,indefinite,short,indefinite,4,The student showed a report that she had written for a class to a classmate.
8,0,do,long,indefinite,long,definite,1,The man gave a woman who enjoyed birdwatching the book that was about birds.
39,9,do,short,indefinite,short,indefinite,4,The spy told an agent a secret.
1,10,po,short,definite,short,indefinite,5,The caterer brought a meal to the man.
50,3,po,short,indefinite,long,indefinite,4,The mailman delivered a package to a professor who lived in an apartment.
44,13,po,long,definite,long,indefinite,4,The boss offered a raise that was long overdue to the employee who had been working for many years.
12,9,po,long,indefinite,long,definite,5,The spy told the secret that was highly sensitive to an agent who was working for a foreign government.
16,9,po,long,definite,long,definite,5,The spy told the secret that was highly sensitive to the agent who was working for a foreign government.
31,1,po,short,definite,short,definite,5,The waiter handed the cup to the customer.
36,4,po,short,indefinite,short,definite,5,The lawyer sent the message to a client.
7,2,po,short,definite,short,indefinite,5,The quarterback threw a football to the teammate.
54,14,do,short,definite,long,indefinite,4,The teacher taught the student who had a strong singing voice a song.
17,11,po,short,indefinite,short,definite,5,The nurse mailed the report to a patient.
6,7,do,long,indefinite,long,definite,4,The student showed a classmate who was studying for a final the report that she had written for a class.
20,8,do,long,definite,long,definite,2,The child kicked the playmate who was several feet away the ball that was on the grass.
10,6,do,long,indefinite,short,indefinite,5,The professor granted a student an extension that was rarely allowed.
45,6,po,short,definite,short,indefinite,5,The professor granted an extension to the student.
30,9,po,short,indefinite,long,indefinite,5,The spy told a secret to an agent who was working for a foreign government.
4,6,po,long,indefinite,short,definite,2,The professor granted the extension that was rarely allowed to a student.
52,6,po,long,definite,short,definite,3,The professor granted the extension that was rarely allowed to the student.
31,5,do,long,indefinite,long,definite,4,The doctor handed a nurse who was standing in the hallway the form that contained patient information.
36,15,po,short,definite,short,indefinite,5,The salesman sold a car to the teenager.
38,6,po,long,indefinite,long,indefinite,5,The professor granted an extension that was rarely allowed to a student who suffered from a rare illness.
54,6,do,short,indefinite,short,indefinite,5,The professor granted a student an extension.
33,11,po,short,indefinite,long,indefinite,3,The nurse mailed a report to a patient who had some blood work done.
34,14,po,short,indefinite,long,definite,5,The teacher taught the song to a student who had a strong singing voice.
35,5,do,long,definite,long,definite,5,The doctor handed the nurse who was standing in the hallway the form that contained patient information.
27,14,po,short,definite,long,indefinite,3,The teacher taught a song to the student who had a strong singing voice.
12,10,do,long,indefinite,short,indefinite,5,The caterer brought a man a meal that was specially prepared.
13,15,do,short,definite,short,indefinite,5,The salesman sold the teenager a car.
15,9,po,long,definite,long,indefinite,3,The spy told a secret that was highly sensitive to the agent who was working for a foreign government.
6,2,po,short,indefinite,short,indefinite,5,The quarterback threw a football to a teammate.
7,10,po,long,indefinite,long,indefinite,4,The caterer brought a meal that was specially prepared to a man who was in a nursing home.
53,15,po,short,definite,long,definite,NA,The salesman sold the car to the teenager who had come into some money.
41,2,po,long,indefinite,long,definite,5,The quarterback threw the football that was slightly deflated to a teammate who was in the endzone.
42,1,do,short,definite,short,indefinite,5,The waiter handed the customer a cup.
48,15,do,short,definite,long,definite,2,The salesman sold the teenager who had come into some money the car.
1,8,do,long,indefinite,short,indefinite,5,The child kicked a playmate a ball that was on the grass.
16,6,do,short,indefinite,long,indefinite,5,The professor granted a student who suffered from a rare illness an extension.
37,2,po,long,indefinite,short,definite,4,The quarterback threw the football that was slightly deflated to a teammate.
22,4,po,long,indefinite,long,indefinite,5,The lawyer sent a message that contained confidential information to a client who was awaiting trial.
54,13,do,short,definite,long,definite,4,The boss offered the employee who had been working for many years the raise.
33,4,do,long,indefinite,long,definite,2,The lawyer sent a client who was awaiting trial the message that contained confidential information.
29,12,po,long,indefinite,long,indefinite,5,The librarian loaned a novel that was about the future to a retiree who was looking for reading material.
30,14,po,long,indefinite,long,definite,4,The teacher taught the song that was very catchy to a student who had a strong singing voice.
43,11,po,short,indefinite,short,indefinite,5,The nurse mailed a report to a patient.
53,9,do,long,definite,long,definite,4,The spy told the agent who was working for a foreign government the secret that was highly sensitive.
48,5,do,short,indefinite,long,definite,2,The doctor handed a nurse who was standing in the hallway the form.
26,11,do,long,definite,long,indefinite,5,The nurse mailed the patient who had some blood work done a report that was about the test results.
34,15,po,short,indefinite,long,indefinite,4,The salesman sold a car to a teenager who had come into some money.
27,15,po,short,definite,short,definite,5,The salesman sold the car to the teenager.
45,10,po,long,definite,long,indefinite,4,The caterer brought a meal that was specially prepared to the man who was in a nursing home.
44,12,po,long,definite,long,definite,4,The librarian loaned the novel that was about the future to the retiree who was looking for reading material.
14,8,po,long,definite,long,indefinite,4,The child kicked a ball that was on the grass to the playmate who was several feet away.
49,5,do,short,definite,short,definite,5,The doctor handed the nurse the form.
31,15,do,long,definite,long,definite,4,The salesman sold the teenager who had come into some money the car that had a lot of miles.
18,2,do,long,definite,long,definite,2,The quarterback threw the teammate who was in the endzone the football that was slightly deflated.
41,8,po,short,definite,short,definite,4,The child kicked the ball to the playmate.
51,12,do,long,definite,short,indefinite,5,The librarian loaned the retiree a novel that was about the future.
3,1,po,long,definite,long,indefinite,5,The waiter handed a cup that was full of water to the customer who was sitting at the table.
52,2,do,short,indefinite,short,definite,3,The quarterback threw a teammate the football.
24,3,do,long,indefinite,short,indefinite,5,The mailman delivered a professor a package that contained a book.
43,5,do,long,indefinite,short,indefinite,5,The doctor handed a nurse a form that contained patient information.
36,10,po,long,indefinite,short,definite,4,The caterer brought the meal that was specially prepared to a man.
53,14,po,long,indefinite,short,indefinite,5,The teacher taught a song that was very catchy to a student.
37,9,po,short,indefinite,long,indefinite,4,The spy told a secret to an agent who was working for a foreign government.
32,2,po,long,definite,long,definite,4,The quarterback threw the football that was slightly deflated to the teammate who was in the endzone.
54,2,do,short,definite,short,indefinite,4,The quarterback threw the teammate a football.
46,11,po,short,indefinite,short,indefinite,4,The nurse mailed a report to a patient.
34,13,po,short,definite,short,indefinite,5,The boss offered a raise to the employee.
27,9,do,long,definite,short,definite,3,The spy told the agent the secret that was highly sensitive.
40,14,po,long,definite,long,indefinite,5,The teacher taught a song that was very catchy to the student who had a strong singing voice.
