,animacy,order,length,item,verb,particle,WorkerId,acceptability
1262,anim,shifted,short,6_low_anim,do,in,50,5
1263,inanim,unshifted,short,9_high_inanim,wolf,down,51,4
1264,inanim,shifted,short,7_low_inanim,move,in,54,2
1265,anim,unshifted,short,5_low_anim,laugh,down,148,4
1266,inanim,unshifted,long,7_low_inanim,move,in,55,5
1267,anim,shifted,long,18_high_anim,pep,up,129,4
1268,inanim,unshifted,long,4_low_inanim,force,back,57,1
1269,anim,shifted,long,8_high_anim,bog,down,59,4
1270,anim,unshifted,short,7_low_anim,see,off,61,5
1271,anim,unshifted,short,10_low_anim,show,out,62,5
1272,inanim,unshifted,long,7_high_inanim,scale,back,64,4
1273,anim,shifted,short,6_low_anim,do,in,147,1
1274,anim,shifted,short,10_low_anim,show,out,66,4
1275,inanim,shifted,short,9_low_inanim,read,off,69,5
1276,inanim,shifted,short,9_high_inanim,wolf,down,73,2
1277,anim,shifted,long,5_low_anim,laugh,down,75,3
1278,anim,shifted,short,13_high_anim,rip,off,76,5
1279,anim,unshifted,short,5_low_anim,laugh,down,78,2
1280,anim,unshifted,long,6_low_anim,do,in,79,1
1281,anim,unshifted,short,14_high_anim,egg,on,80,4
1282,inanim,shifted,long,16_high_inanim,flesh,out,138,4
1283,anim,shifted,long,4_low_anim,drive,back,81,4
1284,anim,shifted,long,3_low_anim,send,away,82,2
1285,inanim,shifted,long,9_low_inanim,read,off,139,5
1286,anim,shifted,short,13_low_anim,talk,up,140,5
1287,inanim,shifted,long,14_low_inanim,buy,up,87,3
1288,anim,unshifted,long,9_low_anim,lead,on,91,2
1289,anim,unshifted,long,7_low_anim,see,off,92,1
1290,inanim,unshifted,long,5_high_inanim,squirrel,away,93,2
1291,anim,unshifted,short,7_low_anim,see,off,94,3
1292,inanim,unshifted,long,9_high_inanim,wolf,down,95,2
1293,anim,unshifted,long,6_low_anim,do,in,96,2
1294,inanim,unshifted,short,5_low_inanim,argue,down,144,5
1295,inanim,unshifted,short,5_high_inanim,squirrel,away,99,4
1296,anim,unshifted,short,6_high_anim,bring,back,101,5
1297,inanim,unshifted,short,20_high_inanim,divvy,up,104,4
1298,anim,unshifted,long,4_low_anim,drive,back,105,4
1299,anim,shifted,short,13_low_anim,talk,up,1,4
1300,anim,shifted,short,9_low_anim,lead,on,107,5
1301,inanim,unshifted,short,14_low_inanim,buy,up,2,4
1302,anim,shifted,long,15_high_anim,bail,out,4,5
1303,inanim,shifted,long,13_high_inanim,factor,in,109,4
1304,anim,shifted,long,13_high_anim,rip,off,8,3
1305,anim,shifted,long,13_high_anim,rip,off,9,5
1306,inanim,unshifted,short,13_high_inanim,factor,in,10,4
1307,inanim,unshifted,short,10_low_inanim,have,on,110,5
1308,inanim,shifted,short,5_high_inanim,squirrel,away,11,5
1309,inanim,unshifted,long,11_low_inanim,deal,out,111,4
1310,anim,unshifted,short,9_low_anim,lead,on,13,4
1311,anim,unshifted,long,5_low_anim,laugh,down,14,1
1312,anim,unshifted,short,6_low_anim,do,in,150,2
1313,anim,shifted,long,10_high_anim,rein,in,113,5
1314,anim,unshifted,long,14_high_anim,egg,on,17,2
1315,anim,shifted,long,10_high_anim,rein,in,114,5
1316,inanim,shifted,long,7_low_inanim,move,in,156,3
1317,inanim,shifted,short,15_high_inanim,pass,on,20,5
1318,anim,shifted,long,10_low_anim,show,out,23,2
1319,anim,shifted,short,8_high_anim,bog,down,26,5
1320,inanim,shifted,short,15_high_inanim,pass,on,116,5
1321,anim,shifted,long,13_low_anim,talk,up,117,3
1322,inanim,shifted,short,9_low_inanim,read,off,29,5
1323,anim,unshifted,long,7_low_anim,see,off,30,1
1324,anim,unshifted,short,6_low_anim,do,in,31,4
1325,inanim,unshifted,short,3_low_inanim,wish,away,32,4
1326,inanim,shifted,long,11_low_inanim,deal,out,154,5
1327,anim,shifted,long,6_high_anim,bring,back,33,4
1328,inanim,unshifted,short,9_low_inanim,read,off,35,5
1329,inanim,unshifted,long,14_low_inanim,buy,up,37,2
1330,anim,shifted,short,8_high_anim,bog,down,38,4
1331,anim,unshifted,long,10_high_anim,rein,in,122,2
1332,inanim,unshifted,long,5_low_inanim,argue,down,39,4
1333,inanim,unshifted,short,4_low_inanim,force,back,123,1
1334,inanim,unshifted,long,4_low_inanim,force,back,41,1
1335,inanim,unshifted,long,15_high_inanim,pass,on,42,4
1336,inanim,unshifted,short,15_high_inanim,pass,on,45,5
1337,anim,shifted,short,8_high_anim,bog,down,146,5
1338,inanim,unshifted,short,15_high_inanim,pass,on,47,5
1339,anim,shifted,short,6_low_anim,do,in,126,3
1340,anim,shifted,long,6_high_anim,bring,back,127,5
1341,anim,shifted,long,6_high_anim,bring,back,49,4
1342,inanim,shifted,long,7_high_inanim,scale,back,128,5
1343,inanim,unshifted,short,15_high_inanim,pass,on,155,5
1344,inanim,shifted,short,15_high_inanim,pass,on,52,5
1345,inanim,shifted,short,13_high_inanim,factor,in,53,4
1346,inanim,shifted,short,15_high_inanim,pass,on,148,5
1347,anim,unshifted,short,7_low_anim,see,off,56,5
1348,inanim,unshifted,long,4_low_inanim,force,back,130,3
1349,anim,shifted,short,4_low_anim,drive,back,57,2
1350,inanim,unshifted,long,7_high_inanim,scale,back,60,3
1351,inanim,shifted,short,10_low_inanim,have,on,61,5
1352,anim,unshifted,short,7_low_anim,see,off,134,5
1353,inanim,unshifted,long,7_low_inanim,move,in,147,2
1354,inanim,unshifted,short,14_high_inanim,stave,off,67,5
1355,inanim,shifted,short,9_low_inanim,read,off,68,5
1356,inanim,unshifted,short,20_high_inanim,divvy,up,135,5
1357,inanim,unshifted,long,14_low_inanim,buy,up,75,2
1358,anim,shifted,long,10_low_anim,show,out,76,5
1359,inanim,shifted,short,4_low_inanim,force,back,77,5
1360,inanim,unshifted,short,14_low_inanim,buy,up,80,3
1361,anim,unshifted,long,10_high_anim,rein,in,82,1
1362,anim,unshifted,long,6_low_anim,do,in,83,1
1363,inanim,shifted,short,7_high_inanim,scale,back,84,5
1364,anim,unshifted,long,15_high_anim,bail,out,85,1
1365,inanim,shifted,long,13_high_inanim,factor,in,140,5
1366,anim,unshifted,short,13_high_anim,rip,off,87,5
1367,anim,shifted,long,3_low_anim,send,away,90,5
1368,inanim,unshifted,long,9_low_inanim,read,off,91,2
1369,anim,shifted,long,10_high_anim,rein,in,141,5
1370,anim,unshifted,long,18_high_anim,pep,up,144,1
1371,inanim,unshifted,short,11_low_inanim,deal,out,145,1
1372,anim,unshifted,short,6_low_anim,do,in,97,4
1373,inanim,unshifted,long,3_low_inanim,wish,away,153,1
1374,inanim,shifted,long,16_high_inanim,flesh,out,101,5
1375,anim,shifted,long,5_high_anim,scare,away,103,3
1376,inanim,shifted,short,7_low_inanim,move,in,104,4
1377,anim,unshifted,short,8_high_anim,bog,down,106,5
1378,anim,unshifted,short,5_high_anim,scare,away,107,5
1379,anim,unshifted,long,4_low_anim,drive,back,10,2
1380,anim,shifted,long,6_low_anim,do,in,110,4
1381,anim,unshifted,long,13_high_anim,rip,off,111,4
1382,inanim,shifted,long,7_high_inanim,scale,back,14,3
1383,inanim,unshifted,short,5_high_inanim,squirrel,away,150,4
1384,anim,shifted,long,9_low_anim,lead,on,15,4
1385,anim,shifted,long,10_low_anim,show,out,113,4
1386,anim,shifted,long,9_low_anim,lead,on,18,4
1387,anim,unshifted,long,6_low_anim,do,in,151,1
1388,anim,shifted,long,6_high_anim,bring,back,19,4
1389,inanim,shifted,long,5_low_inanim,argue,down,20,5
1390,anim,shifted,long,4_low_anim,drive,back,22,5
1391,anim,shifted,long,3_low_anim,send,away,26,5
1392,inanim,shifted,long,4_low_inanim,force,back,30,4
1393,anim,unshifted,short,9_low_anim,lead,on,119,5
1394,anim,unshifted,long,10_high_anim,rein,in,34,1
1395,anim,unshifted,long,8_high_anim,bog,down,120,2
1396,inanim,unshifted,short,3_low_inanim,wish,away,124,3
1397,inanim,shifted,long,15_high_inanim,pass,on,41,5
1398,inanim,unshifted,long,15_high_inanim,pass,on,43,3
1399,inanim,unshifted,long,7_high_inanim,scale,back,125,5
1400,inanim,shifted,long,14_low_inanim,buy,up,127,5
1401,anim,unshifted,long,3_low_anim,send,away,51,4
1402,inanim,shifted,long,3_low_inanim,wish,away,155,3
1403,anim,unshifted,long,9_low_anim,lead,on,54,2
1404,inanim,unshifted,short,9_high_inanim,wolf,down,129,4
1405,anim,unshifted,short,6_high_anim,bring,back,56,5
1406,anim,unshifted,long,10_high_anim,rein,in,57,1
1407,inanim,shifted,short,13_high_inanim,factor,in,131,5
1408,anim,shifted,short,4_low_anim,drive,back,65,4
1409,inanim,unshifted,short,7_low_inanim,move,in,134,5
1410,anim,unshifted,short,8_high_anim,bog,down,147,5
1411,anim,unshifted,short,14_high_anim,egg,on,66,5
1412,inanim,shifted,long,7_low_inanim,move,in,67,4
1413,inanim,unshifted,short,14_high_inanim,stave,off,68,2
1414,anim,shifted,short,3_low_anim,send,away,135,5
1415,inanim,unshifted,long,13_high_inanim,factor,in,69,2
1416,anim,shifted,long,6_low_anim,do,in,70,4
1417,inanim,unshifted,short,9_high_inanim,wolf,down,72,5
1418,anim,unshifted,short,9_low_anim,lead,on,137,4
1419,inanim,shifted,short,3_low_inanim,wish,away,73,3
1420,anim,shifted,long,3_low_anim,send,away,74,5
1421,anim,unshifted,short,8_high_anim,bog,down,75,4
1422,anim,unshifted,long,5_high_anim,scare,away,81,3
1423,anim,unshifted,long,13_high_anim,rip,off,83,2
1424,anim,shifted,long,13_low_anim,talk,up,84,5
1425,anim,shifted,long,6_low_anim,do,in,85,2
1426,inanim,shifted,short,16_high_inanim,flesh,out,89,5
1427,inanim,shifted,short,9_high_inanim,wolf,down,90,5
1428,anim,unshifted,short,15_high_anim,bail,out,92,5
1429,inanim,unshifted,short,7_high_inanim,scale,back,94,4
1430,anim,shifted,long,13_high_anim,rip,off,95,5
1431,anim,shifted,long,15_high_anim,bail,out,96,5
1432,anim,shifted,short,13_low_anim,talk,up,142,4
1433,anim,unshifted,short,7_low_anim,see,off,143,4
1434,anim,shifted,long,13_low_anim,talk,up,153,2
1435,anim,unshifted,long,4_low_anim,drive,back,104,1
1436,inanim,shifted,long,13_high_inanim,factor,in,106,5
1437,anim,unshifted,short,3_low_anim,send,away,2,5
1438,inanim,shifted,short,10_low_inanim,have,on,4,5
1439,anim,shifted,long,13_high_anim,rip,off,5,5
1440,inanim,shifted,short,11_low_inanim,deal,out,109,4
1441,anim,shifted,long,7_low_anim,see,off,6,2
1442,inanim,unshifted,long,9_low_inanim,read,off,7,1
1443,anim,unshifted,long,9_low_anim,lead,on,8,1
1444,inanim,unshifted,short,14_low_inanim,buy,up,12,5
1445,anim,shifted,long,13_high_anim,rip,off,112,5
1446,inanim,shifted,short,9_low_inanim,read,off,150,5
1447,inanim,shifted,short,20_high_inanim,divvy,up,115,5
1448,anim,unshifted,short,6_low_anim,do,in,156,4
1449,anim,shifted,short,13_high_anim,rip,off,23,5
1450,inanim,unshifted,short,7_high_inanim,scale,back,24,3
1451,inanim,shifted,long,5_high_inanim,squirrel,away,117,4
1452,inanim,unshifted,long,9_low_inanim,read,off,27,3
1453,inanim,unshifted,long,15_high_inanim,pass,on,28,2
1454,inanim,unshifted,long,3_low_inanim,wish,away,118,1
1455,anim,shifted,short,15_high_anim,bail,out,31,4
1456,inanim,shifted,long,5_high_inanim,squirrel,away,121,5
1457,inanim,unshifted,short,7_low_inanim,move,in,40,5
1458,anim,shifted,short,15_high_anim,bail,out,41,5
1459,inanim,unshifted,short,11_low_inanim,deal,out,146,5
1460,inanim,shifted,long,4_low_inanim,force,back,125,5
1461,inanim,shifted,short,5_low_inanim,argue,down,126,3
1462,anim,shifted,short,4_low_anim,drive,back,127,5
1463,anim,unshifted,short,10_low_anim,show,out,48,5
1464,anim,shifted,short,9_low_anim,lead,on,49,5
1465,anim,unshifted,long,9_low_anim,lead,on,52,2
1466,anim,unshifted,long,5_high_anim,scare,away,53,1
1467,anim,unshifted,short,13_low_anim,talk,up,130,5
1468,inanim,shifted,long,7_high_inanim,scale,back,57,5
1469,anim,shifted,short,5_low_anim,laugh,down,61,1
1470,inanim,unshifted,short,7_low_inanim,move,in,131,5
1471,anim,unshifted,short,5_low_anim,laugh,down,132,2
1472,anim,shifted,short,3_low_anim,send,away,62,5
1473,anim,shifted,long,8_high_anim,bog,down,133,4
1474,inanim,shifted,long,7_high_inanim,scale,back,63,4
1475,inanim,shifted,long,20_high_inanim,divvy,up,64,4
1476,inanim,unshifted,short,7_high_inanim,scale,back,66,3
1477,anim,shifted,long,5_high_anim,scare,away,70,4
1478,inanim,shifted,long,4_low_inanim,force,back,72,4
1479,inanim,shifted,long,10_low_inanim,have,on,137,4
1480,anim,shifted,short,15_high_anim,bail,out,73,5
1481,anim,shifted,long,18_high_anim,pep,up,76,5
1482,anim,shifted,short,14_high_anim,egg,on,84,5
1483,inanim,unshifted,long,16_high_inanim,flesh,out,85,2
1484,anim,unshifted,long,10_low_anim,show,out,87,2
1485,inanim,shifted,long,14_low_inanim,buy,up,90,5
1486,anim,unshifted,long,15_high_anim,bail,out,91,4
1487,inanim,unshifted,long,7_high_inanim,scale,back,92,2
1488,anim,unshifted,long,13_low_anim,talk,up,93,2
1489,anim,shifted,long,5_low_anim,laugh,down,141,3
1490,inanim,shifted,short,4_low_inanim,force,back,94,4
1491,anim,shifted,long,13_low_anim,talk,up,95,5
1492,anim,unshifted,long,14_high_anim,egg,on,142,2
1493,anim,unshifted,short,5_high_anim,scare,away,145,5
1494,anim,shifted,short,8_high_anim,bog,down,97,3
1495,inanim,shifted,short,4_low_inanim,force,back,98,3
1496,inanim,shifted,short,14_low_inanim,buy,up,100,4
1497,anim,unshifted,short,14_high_anim,egg,on,101,5
1498,inanim,shifted,long,5_low_inanim,argue,down,105,5
1499,anim,unshifted,short,13_high_anim,rip,off,3,4
1500,inanim,shifted,short,20_high_inanim,divvy,up,4,5
1501,anim,shifted,long,15_high_anim,bail,out,108,3
1502,inanim,unshifted,long,9_high_inanim,wolf,down,10,4
1503,inanim,shifted,long,16_high_inanim,flesh,out,15,4
1504,anim,shifted,short,13_high_anim,rip,off,16,4
1505,inanim,shifted,short,5_low_inanim,argue,down,114,5
1506,inanim,shifted,short,16_high_inanim,flesh,out,19,4
1507,anim,shifted,short,7_low_anim,see,off,20,4
1508,inanim,shifted,long,16_high_inanim,flesh,out,21,5
1509,inanim,shifted,long,3_low_inanim,wish,away,24,1
1510,inanim,shifted,long,20_high_inanim,divvy,up,152,5
1511,anim,unshifted,long,18_high_anim,pep,up,26,5
1512,inanim,shifted,short,7_high_inanim,scale,back,116,5
1513,inanim,unshifted,short,4_low_inanim,force,back,117,3
1514,inanim,shifted,long,4_low_inanim,force,back,28,2
1515,anim,shifted,long,3_low_anim,send,away,29,5
1516,inanim,unshifted,long,7_high_inanim,scale,back,30,1
1517,anim,unshifted,long,14_high_anim,egg,on,37,1
1518,inanim,shifted,short,7_low_inanim,move,in,120,5
1519,anim,unshifted,short,6_low_anim,do,in,38,5
1520,anim,unshifted,short,14_high_anim,egg,on,39,5
1521,anim,shifted,short,10_low_anim,show,out,40,5
1522,anim,unshifted,long,13_high_anim,rip,off,44,4
1523,inanim,unshifted,short,16_high_inanim,flesh,out,126,2
1524,anim,shifted,long,14_high_anim,egg,on,49,5
1525,anim,shifted,short,5_high_anim,scare,away,50,5
1526,inanim,unshifted,short,5_high_inanim,squirrel,away,128,5
1527,anim,shifted,long,18_high_anim,pep,up,51,4
1528,anim,shifted,long,5_high_anim,scare,away,52,4
1529,anim,unshifted,long,6_low_anim,do,in,53,1
1530,inanim,unshifted,short,10_low_inanim,have,on,148,5
1531,anim,unshifted,short,8_high_anim,bog,down,129,4
1532,anim,shifted,long,4_low_anim,drive,back,56,4
1533,anim,unshifted,short,5_high_anim,scare,away,130,5
1534,anim,shifted,long,3_low_anim,send,away,57,4
1535,inanim,unshifted,long,14_high_inanim,stave,off,59,1
1536,anim,unshifted,short,8_high_anim,bog,down,60,5
1537,inanim,shifted,long,14_low_inanim,buy,up,65,5
1538,anim,shifted,short,10_low_anim,show,out,134,2
1539,anim,unshifted,short,13_high_anim,rip,off,67,5
1540,anim,shifted,long,3_low_anim,send,away,68,4
1541,anim,unshifted,long,15_high_anim,bail,out,135,2
1542,anim,unshifted,short,13_low_anim,talk,up,69,4
1543,anim,shifted,long,3_low_anim,send,away,73,4
1544,inanim,unshifted,long,14_low_inanim,buy,up,76,2
1545,inanim,shifted,short,10_low_inanim,have,on,77,2
1546,anim,shifted,short,6_high_anim,bring,back,78,3
1547,anim,shifted,short,5_low_anim,laugh,down,138,1
1548,inanim,shifted,short,9_low_inanim,read,off,82,5
1549,inanim,unshifted,long,11_low_inanim,deal,out,139,4
1550,anim,shifted,long,9_low_anim,lead,on,83,4
1551,anim,shifted,long,5_low_anim,laugh,down,140,5
1552,inanim,shifted,short,3_low_inanim,wish,away,88,3
1553,anim,shifted,short,8_high_anim,bog,down,89,4
1554,anim,shifted,short,5_high_anim,scare,away,141,5
1555,inanim,unshifted,short,7_high_inanim,scale,back,96,5
1556,anim,shifted,long,15_high_anim,bail,out,143,5
1557,anim,shifted,short,15_high_anim,bail,out,144,5
1558,anim,unshifted,short,13_low_anim,talk,up,145,3
1559,anim,unshifted,short,18_high_anim,pep,up,153,5
1560,inanim,shifted,short,7_high_inanim,scale,back,100,4
1561,anim,shifted,short,6_high_anim,bring,back,104,5
1562,inanim,unshifted,short,13_high_inanim,factor,in,105,5
1563,anim,shifted,long,7_low_anim,see,off,3,3
1564,inanim,shifted,short,20_high_inanim,divvy,up,108,5
1565,inanim,shifted,short,14_low_inanim,buy,up,5,5
1566,anim,shifted,short,6_low_anim,do,in,109,2
1567,inanim,unshifted,long,9_low_inanim,read,off,8,1
1568,inanim,unshifted,long,9_low_inanim,read,off,10,3
1569,anim,unshifted,short,14_high_anim,egg,on,111,5
1570,inanim,unshifted,long,15_high_inanim,pass,on,16,3
1571,anim,unshifted,long,7_low_anim,see,off,17,3
1572,inanim,shifted,long,3_low_inanim,wish,away,18,4
1573,inanim,unshifted,long,4_low_inanim,force,back,156,3
1574,anim,unshifted,short,5_high_anim,scare,away,19,4
1575,anim,shifted,long,15_high_anim,bail,out,21,4
1576,anim,shifted,long,9_low_anim,lead,on,22,5
1577,anim,shifted,long,5_low_anim,laugh,down,152,4
1578,inanim,unshifted,short,3_low_inanim,wish,away,25,4
1579,anim,unshifted,long,15_high_anim,bail,out,118,2
1580,anim,shifted,long,10_low_anim,show,out,30,5
1581,anim,unshifted,long,14_high_anim,egg,on,32,2
1582,inanim,unshifted,short,20_high_inanim,divvy,up,154,5
1583,anim,shifted,short,15_high_anim,bail,out,33,5
1584,inanim,shifted,short,5_high_inanim,squirrel,away,119,1
1585,inanim,unshifted,short,5_high_inanim,squirrel,away,34,4
1586,anim,shifted,short,5_high_anim,scare,away,35,5
1587,anim,shifted,long,13_high_anim,rip,off,36,4
1588,inanim,unshifted,short,20_high_inanim,divvy,up,120,5
1589,inanim,shifted,long,4_low_inanim,force,back,124,3
1590,inanim,shifted,short,5_low_inanim,argue,down,42,4
1591,inanim,unshifted,short,7_low_inanim,move,in,44,5
1592,inanim,shifted,long,16_high_inanim,flesh,out,45,5
1593,inanim,unshifted,short,14_high_inanim,stave,off,146,5
1594,anim,shifted,long,18_high_anim,pep,up,125,5
1595,inanim,shifted,short,4_low_inanim,force,back,47,4
1596,inanim,unshifted,long,10_low_inanim,have,on,128,2
1597,anim,shifted,short,13_low_anim,talk,up,51,4
1598,anim,shifted,short,14_high_anim,egg,on,54,4
1599,inanim,unshifted,long,15_high_inanim,pass,on,55,4
1600,anim,shifted,short,15_high_anim,bail,out,57,5
1601,anim,unshifted,short,8_high_anim,bog,down,58,5
1602,anim,unshifted,short,7_low_anim,see,off,59,5
1603,anim,shifted,long,4_low_anim,drive,back,133,3
1604,anim,shifted,short,5_high_anim,scare,away,64,4
1605,inanim,shifted,long,9_low_inanim,read,off,134,5
1606,anim,shifted,long,8_high_anim,bog,down,66,3
1607,anim,shifted,short,8_high_anim,bog,down,68,5
1608,inanim,shifted,long,7_low_inanim,move,in,69,4
1609,inanim,shifted,short,7_high_inanim,scale,back,70,5
1610,anim,unshifted,long,10_high_anim,rein,in,74,5
1611,anim,unshifted,short,9_low_anim,lead,on,75,5
1612,anim,shifted,short,13_low_anim,talk,up,76,5
1613,anim,unshifted,short,7_low_anim,see,off,77,3
1614,inanim,shifted,short,7_high_inanim,scale,back,78,4
1615,anim,shifted,short,5_low_anim,laugh,down,79,1
1616,anim,shifted,long,9_low_anim,lead,on,81,4
1617,anim,shifted,long,9_low_anim,lead,on,139,2
1618,inanim,shifted,long,4_low_inanim,force,back,86,3
1619,inanim,unshifted,short,5_high_inanim,squirrel,away,87,4
1620,inanim,unshifted,short,14_high_inanim,stave,off,88,4
1621,anim,shifted,long,5_low_anim,laugh,down,92,4
1622,anim,shifted,short,10_low_anim,show,out,94,4
1623,inanim,shifted,long,20_high_inanim,divvy,up,142,5
1624,anim,unshifted,long,6_low_anim,do,in,143,1
1625,inanim,unshifted,short,14_high_inanim,stave,off,97,3
1626,anim,unshifted,long,5_high_anim,scare,away,98,5
1627,inanim,shifted,long,11_low_inanim,deal,out,153,3
1628,anim,unshifted,long,13_low_anim,talk,up,101,2
1629,anim,unshifted,short,10_low_anim,show,out,103,4
1630,anim,unshifted,long,7_low_anim,see,off,106,3
1631,anim,shifted,long,14_high_anim,egg,on,107,5
1632,inanim,shifted,short,16_high_inanim,flesh,out,3,4
1633,inanim,shifted,short,4_low_inanim,force,back,108,4
1634,anim,unshifted,short,8_high_anim,bog,down,109,3
1635,inanim,unshifted,short,5_low_inanim,argue,down,6,3
1636,inanim,unshifted,short,13_high_inanim,factor,in,8,3
1637,anim,unshifted,long,9_low_anim,lead,on,110,2
1638,inanim,shifted,long,9_low_inanim,read,off,12,5
1639,anim,shifted,long,10_high_anim,rein,in,13,4
1640,inanim,shifted,short,9_high_inanim,wolf,down,150,5
1641,inanim,shifted,short,14_high_inanim,stave,off,113,5
1642,anim,shifted,short,13_high_anim,rip,off,17,5
1643,inanim,shifted,long,16_high_inanim,flesh,out,18,4
1644,anim,shifted,long,18_high_anim,pep,up,114,5
1645,anim,unshifted,short,7_low_anim,see,off,151,5
1646,anim,shifted,short,10_high_anim,rein,in,115,5
1647,anim,unshifted,short,13_high_anim,rip,off,156,5
1648,inanim,shifted,long,14_low_inanim,buy,up,19,4
1649,anim,unshifted,short,3_low_anim,send,away,21,5
1650,anim,shifted,long,10_high_anim,rein,in,23,5
1651,anim,unshifted,short,6_high_anim,bring,back,24,5
1652,anim,unshifted,short,15_high_anim,bail,out,25,5
1653,anim,unshifted,long,8_high_anim,bog,down,116,3
1654,anim,unshifted,long,9_low_anim,lead,on,117,2
1655,anim,unshifted,long,15_high_anim,bail,out,27,2
1656,inanim,shifted,short,7_low_inanim,move,in,118,2
1657,inanim,shifted,short,9_low_inanim,read,off,31,5
1658,anim,unshifted,long,15_high_anim,bail,out,154,5
1659,inanim,shifted,long,7_low_inanim,move,in,33,5
1660,anim,unshifted,long,18_high_anim,pep,up,34,2
1661,anim,shifted,long,5_low_anim,laugh,down,35,1
1662,inanim,unshifted,long,9_high_inanim,wolf,down,36,5
1663,inanim,shifted,long,4_low_inanim,force,back,37,3
1664,anim,shifted,short,6_high_anim,bring,back,120,5
1665,inanim,unshifted,short,10_low_inanim,have,on,121,5
1666,inanim,unshifted,short,5_low_inanim,argue,down,122,5
1667,anim,shifted,short,14_high_anim,egg,on,123,4
1668,anim,unshifted,long,14_high_anim,egg,on,124,2
1669,inanim,unshifted,short,7_high_inanim,scale,back,40,4
1670,anim,shifted,short,5_high_anim,scare,away,42,4
1671,inanim,unshifted,short,9_low_inanim,read,off,43,5
1672,anim,shifted,short,15_high_anim,bail,out,146,5
1673,inanim,shifted,short,5_high_inanim,squirrel,away,125,5
1674,inanim,shifted,short,16_high_inanim,flesh,out,46,5
1675,inanim,unshifted,short,3_low_inanim,wish,away,126,3
1676,inanim,unshifted,long,10_low_inanim,have,on,127,4
1677,inanim,shifted,short,7_low_inanim,move,in,48,4
1678,inanim,shifted,long,7_high_inanim,scale,back,49,5
1679,anim,shifted,short,5_low_anim,laugh,down,155,1
1680,anim,unshifted,long,14_high_anim,egg,on,55,4
1681,anim,shifted,long,10_low_anim,show,out,129,4
1682,anim,unshifted,long,7_low_anim,see,off,58,2
1683,inanim,unshifted,short,14_low_inanim,buy,up,59,5
1684,inanim,unshifted,long,5_low_inanim,argue,down,131,4
1685,anim,shifted,long,3_low_anim,send,away,63,3
1686,inanim,shifted,long,10_low_inanim,have,on,147,5
1687,inanim,shifted,short,10_low_inanim,have,on,66,3
1688,inanim,shifted,long,20_high_inanim,divvy,up,136,4
1689,anim,shifted,short,13_high_anim,rip,off,72,5
1690,anim,unshifted,long,5_low_anim,laugh,down,74,4
1691,inanim,shifted,long,16_high_inanim,flesh,out,79,2
1692,inanim,shifted,short,13_high_inanim,factor,in,139,4
1693,anim,shifted,long,13_high_anim,rip,off,84,3
1694,inanim,unshifted,long,15_high_inanim,pass,on,140,2
1695,inanim,shifted,long,13_high_inanim,factor,in,86,4
1696,anim,shifted,long,6_high_anim,bring,back,87,3
1697,anim,shifted,short,15_high_anim,bail,out,88,3
1698,inanim,unshifted,short,5_high_inanim,squirrel,away,89,4
1699,anim,shifted,short,15_high_anim,bail,out,90,5
1700,inanim,shifted,long,11_low_inanim,deal,out,91,2
1701,inanim,shifted,short,5_high_inanim,squirrel,away,141,5
1702,anim,unshifted,long,3_low_anim,send,away,142,3
1703,inanim,unshifted,short,7_high_inanim,scale,back,143,4
1704,anim,shifted,long,4_low_anim,drive,back,149,4
1705,anim,shifted,short,7_low_anim,see,off,153,4
1706,anim,shifted,short,7_low_anim,see,off,100,2
1707,inanim,shifted,short,15_high_inanim,pass,on,102,5
1708,inanim,unshifted,long,9_high_inanim,wolf,down,103,2
1709,anim,shifted,long,13_low_anim,talk,up,104,5
1710,anim,unshifted,long,8_high_anim,bog,down,105,5
1711,anim,shifted,long,10_high_anim,rein,in,106,5
1712,anim,shifted,short,5_high_anim,scare,away,1,5
1713,inanim,shifted,short,10_low_inanim,have,on,2,3
1714,anim,shifted,long,6_high_anim,bring,back,3,4
1715,inanim,unshifted,short,15_high_inanim,pass,on,4,5
1716,anim,unshifted,short,6_high_anim,bring,back,108,5
1717,anim,unshifted,long,15_high_anim,bail,out,5,3
1718,inanim,unshifted,short,16_high_inanim,flesh,out,109,4
1719,anim,unshifted,short,10_low_anim,show,out,7,5
1720,anim,shifted,long,13_low_anim,talk,up,9,4
1721,inanim,shifted,long,5_high_inanim,squirrel,away,10,5
1722,inanim,shifted,short,15_high_inanim,pass,on,110,5
1723,inanim,unshifted,short,7_high_inanim,scale,back,111,5
1724,anim,unshifted,short,13_low_anim,talk,up,14,4
1725,anim,shifted,long,8_high_anim,bog,down,15,3
1726,anim,shifted,long,10_high_anim,rein,in,16,3
1727,inanim,shifted,short,11_low_inanim,deal,out,113,5
1728,anim,unshifted,long,13_high_anim,rip,off,18,1
1729,anim,unshifted,long,3_low_anim,send,away,114,5
1730,inanim,shifted,long,3_low_inanim,wish,away,115,3
1731,inanim,shifted,short,9_high_inanim,wolf,down,156,5
1732,inanim,shifted,long,9_high_inanim,wolf,down,21,5
1733,anim,shifted,short,13_low_anim,talk,up,23,5
1734,anim,shifted,long,13_low_anim,talk,up,116,4
1735,inanim,unshifted,short,20_high_inanim,divvy,up,117,4
1736,anim,unshifted,short,9_low_anim,lead,on,28,5
1737,inanim,unshifted,long,4_low_inanim,force,back,29,2
1738,inanim,shifted,short,5_high_inanim,squirrel,away,30,5
