WorkerId,item,shifted,verb_bias,length,acceptability,sentence
21,6,unshifted,nps,short,3,Robert proposed one plane ticket last semester.
3,3,shifted,nps,long,4,Mark mentioned very quickly the flyers for some lectures and slide shows on campus.
23,4,shifted,np,short,3,The dealer transported at ten a car.
45,13,unshifted,np,short,4,The editor distributed the details at supper.
34,19,shifted,np,long,5,The woman carried in August the birth and school records of the three young children.
25,27,unshifted,nps,long,4,Bobby revealed the short documents to the old mansion on the hill at dusk.
4,18,shifted,np,long,1,Shelly carried in May top secret plans for a large fleet of defense missiles.
5,21,shifted,nps,long,1,Jessica reported last summer the awful news of the refugees in the Far East.
50,13,unshifted,np,short,5,The editor distributed the details at supper.
7,21,shifted,np,short,2,Jessica furnished last summer the news.
10,18,shifted,np,short,2,Shelly carried in May notes.
27,0,shifted,nps,short,2,The manager exhibited at noon the styles.
13,17,unshifted,np,short,5,Todd delivered some gifts at once.
31,18,shifted,nps,long,4,Shelly disclosed in May top secret plans for a large fleet of defense missiles.
40,23,unshifted,nps,long,4,Raymond communicated a five page plan of withdrawal for the allied troops very loudly.
15,19,unshifted,np,short,4,The woman carried the records in August.
32,12,unshifted,np,short,5,The lawyer distributed the dividends with confidence.
17,13,unshifted,nps,long,4,The editor acknowledged the first drafts of a long article and book review at supper.
19,13,unshifted,nps,short,5,The editor acknowledged the details at supper.
20,29,shifted,nps,short,2,Mike dictated last year the words.
28,29,shifted,nps,long,2,Mike dictated last year the words to a popular country song in the South.
1,13,shifted,np,short,3,The editor distributed at supper the details.
47,20,unshifted,nps,long,5,David reported the facts on the strange bank robbery crimes in Utah with hesitation.
2,9,unshifted,nps,long,4,Brian explained all of the answers on the twenty point English quiz at lunch.
48,2,unshifted,np,short,1,Mary returned the ads at tea.
49,28,unshifted,nps,long,3,Kathy dictated all three verses from an old and famous French poem last night.
24,3,unshifted,nps,long,1,Mark mentioned the flyers for some lectures and slide shows on campus very quickly.
53,1,shifted,np,short,1,The contractor presented in July the display.
44,7,shifted,nps,short,4,Donald proposed with joy some drafts.
36,15,unshifted,nps,short,5,The teacher announced the test with care.
35,5,unshifted,np,short,5,The manager transported the sports gear at three.
46,18,unshifted,nps,long,5,Shelly disclosed top secret plans for a large fleet of defense missiles in May.
8,11,shifted,np,long,5,The woman described by phone the best routes to the Santa Monica beach and pier.
38,27,shifted,np,long,4,Bobby transferred at dusk the short documents to the old mansion on the hill.
11,17,shifted,nps,long,4,Todd suggested at once a large package with lots of presents for small children.
52,16,unshifted,nps,long,5,Judy suggested a gorgeous red and black silk dress with sparkling sequins in March.
41,0,shifted,np,long,2,The manager presented at noon the new line of bright summer beach and resort fashions.
22,31,unshifted,nps,long,4,Jason broadcast all of the winnings for the past seven horse races with glee.
29,16,unshifted,np,long,5,Judy delivered a gorgeous red and black silk dress with sparkling sequins in March.
33,4,unshifted,nps,short,2,The dealer demonstrated a car at ten.
3,8,unshifted,np,long,5,Jake released all of the facts for the import and export taxes on Friday.
23,24,unshifted,nps,long,3,Sam recommended an old treasure chest with some silver and gold trinkets on Sunday.
45,10,shifted,nps,long,4,Alex indicated in detail each of the key points of conflict in an interview.
34,4,unshifted,nps,short,5,The dealer demonstrated a car at ten.
5,12,shifted,np,long,4,The lawyer distributed with confidence each piece of the evidence in the tax fraud cases.
7,15,unshifted,np,short,3,The teacher introduced the test with care.
12,17,shifted,np,long,4,Todd delivered at once a large package with lots of presents for small children.
13,14,shifted,nps,long,5,The president announced on Monday the new vice chair of the first corporate finance group.
31,6,shifted,np,short,1,Robert relinquished last semester one plane ticket.
54,1,unshifted,nps,short,4,The contractor exhibited the display in July.
15,29,shifted,np,long,4,Mike recited last year the words to a popular country song in the South.
32,2,unshifted,np,short,2,Mary returned the ads at tea.
18,6,unshifted,nps,short,1,Robert proposed one plane ticket last semester.
19,27,shifted,nps,short,4,Bobby revealed at dusk the deeds.
43,17,shifted,nps,long,2,Todd suggested at once a large package with lots of presents for small children.
51,27,unshifted,nps,long,2,Bobby revealed the short documents to the old mansion on the hill at dusk.
21,17,shifted,np,short,2,Todd delivered at once some gifts.
30,15,unshifted,nps,short,2,The teacher announced the test with care.
1,5,shifted,nps,long,3,The manager demonstrated at three the new sports line of running shoes and bicycling gear.
47,27,shifted,nps,long,4,Bobby revealed at dusk the short documents to the old mansion on the hill.
48,14,unshifted,nps,short,1,The president announced the captain on Monday.
49,7,unshifted,nps,long,1,Donald proposed some great front row center seats for the last performance with joy.
53,28,shifted,np,long,2,Kathy recited last night all three verses from an old and famous French poem.
44,27,unshifted,np,short,5,Bobby transferred the deeds at dusk.
36,31,unshifted,np,long,2,Jason forfeited all of the winnings for the past seven horse races with glee.
26,22,shifted,nps,long,1,Steven communicated during break a seven page letter with many details of the trip.
35,14,shifted,np,long,4,The president introduced on Monday the new vice chair of the first corporate finance group.
50,23,shifted,np,long,4,Raymond addressed very loudly a five page plan of withdrawal for the allied troops.
6,26,shifted,nps,long,5,Janet revealed at dawn some more specific plans for a brand new defense plant.
52,12,unshifted,nps,short,5,The lawyer acknowledged the dividends with confidence.
14,24,shifted,nps,long,3,Sam recommended on Sunday an old treasure chest with some silver and gold trinkets.
39,10,unshifted,np,long,5,Alex described each of the key points of conflict in an interview in detail.
40,17,shifted,np,short,4,Todd delivered at once some gifts.
41,14,shifted,nps,short,1,The president announced on Monday the captain.
17,1,unshifted,nps,short,4,The contractor exhibited the display in July.
33,1,shifted,nps,short,4,The contractor exhibited in July the display.
2,12,shifted,np,long,3,The lawyer distributed with confidence each piece of the evidence in the tax fraud cases.
23,16,shifted,nps,long,2,Judy suggested in March a gorgeous red and black silk dress with sparkling sequins.
45,28,unshifted,np,short,5,Kathy recited the poem last night.
8,2,unshifted,np,long,5,Mary returned the used car ad for a Chevrolet with low mileage at tea.
13,19,unshifted,nps,short,5,The woman disclosed the records in August.
31,21,shifted,nps,short,2,Jessica reported last summer the news.
54,23,shifted,nps,short,1,Raymond communicated very loudly a memo.
16,9,shifted,nps,short,2,Brian explained at lunch the quiz.
18,0,unshifted,nps,long,5,The manager exhibited the new line of bright summer beach and resort fashions at noon.
19,17,unshifted,nps,long,4,Todd suggested a large package with lots of presents for small children at once.
51,26,shifted,nps,long,3,Janet revealed at dawn some more specific plans for a brand new defense plant.
21,5,shifted,nps,short,2,The manager demonstrated at three the sports gear.
30,7,unshifted,np,short,3,Donald relinquished some drafts with joy.
3,31,shifted,np,short,1,Jason forfeited with glee the race.
49,31,unshifted,nps,short,4,Jason broadcast the race with glee.
34,7,shifted,nps,long,5,Donald proposed with joy some great front row center seats for the last performance.
53,13,shifted,np,long,3,The editor distributed at supper the first drafts of a long article and book review.
4,20,unshifted,nps,long,5,David reported the facts on the strange bank robbery crimes in Utah with hesitation.
35,2,shifted,nps,short,1,Mary mentioned at tea the ads.
50,30,shifted,np,long,5,Amy forfeited last week the high school girls state swimming title in New York.
6,14,unshifted,np,short,5,The president introduced the captain on Monday.
7,12,shifted,nps,long,3,The lawyer acknowledged with confidence each piece of the evidence in the tax fraud cases.
9,23,unshifted,nps,long,4,Raymond communicated a five page plan of withdrawal for the allied troops very loudly.
10,10,shifted,np,short,2,Alex described in detail the offer.
52,0,unshifted,nps,long,2,The manager exhibited the new line of bright summer beach and resort fashions at noon.
14,28,shifted,nps,short,2,Kathy dictated last night the poem.
40,14,unshifted,np,long,4,The president introduced the new vice chair of the first corporate finance group on Monday.
41,11,unshifted,nps,long,5,The woman indicated the best routes to the Santa Monica beach and pier by phone.
42,13,unshifted,np,long,4,The editor distributed the first drafts of a long article and book review at supper.
22,17,unshifted,nps,long,2,Todd suggested a large package with lots of presents for small children at once.
1,14,unshifted,np,short,5,The president introduced the captain on Monday.
23,29,shifted,np,long,4,Mike recited last year the words to a popular country song in the South.
45,6,shifted,np,short,2,Robert relinquished last semester one plane ticket.
24,23,shifted,np,short,1,Raymond addressed very loudly a memo.
44,18,unshifted,nps,long,5,Shelly disclosed top secret plans for a large fleet of defense missiles in May.
36,10,shifted,nps,long,4,Alex indicated in detail each of the key points of conflict in an interview.
5,15,unshifted,nps,long,2,The teacher announced some hard math concepts for the one hundred point final with care.
26,7,shifted,np,long,5,Donald relinquished with joy some great front row center seats for the last performance.
8,17,shifted,nps,short,5,Todd suggested at once some gifts.
38,13,unshifted,np,long,5,The editor distributed the first drafts of a long article and book review at supper.
13,22,unshifted,nps,long,4,Steven communicated a seven page letter with many details of the trip during break.
54,7,unshifted,nps,long,1,Donald proposed some great front row center seats for the last performance with joy.
37,18,shifted,nps,short,1,Shelly disclosed in May notes.
43,1,shifted,nps,long,3,The contractor exhibited in July the plans for a lagoon and waterfall with red clay.
20,9,unshifted,nps,short,5,Brian explained the quiz at lunch.
28,19,unshifted,nps,short,5,The woman disclosed the records in August.
21,7,shifted,np,long,5,Donald relinquished with joy some great front row center seats for the last performance.
29,2,unshifted,np,short,5,Mary returned the ads at tea.
30,17,unshifted,np,long,3,Todd delivered a large package with lots of presents for small children at once.
47,2,shifted,nps,long,5,Mary mentioned at tea the used car ad for a Chevrolet with low mileage.
3,21,unshifted,np,long,3,Jessica furnished the awful news of the refugees in the Far East last summer.
49,15,unshifted,np,short,4,The teacher introduced the test with care.
35,9,unshifted,np,long,4,Brian released all of the answers on the twenty point English quiz at lunch.
50,12,shifted,np,short,4,The lawyer distributed with confidence the dividends.
10,21,shifted,np,long,1,Jessica furnished last summer the awful news of the refugees in the Far East.
12,18,unshifted,np,long,5,Shelly carried top secret plans for a large fleet of defense missiles in May.
14,30,unshifted,np,long,4,Amy forfeited the high school girls state swimming title in New York last week.
31,0,shifted,np,long,4,The manager presented at noon the new line of bright summer beach and resort fashions.
39,23,unshifted,nps,short,5,Raymond communicated a memo very loudly.
40,22,shifted,nps,long,4,Steven communicated during break a seven page letter with many details of the trip.
41,29,shifted,nps,short,1,Mike dictated last year the words.
17,22,unshifted,np,short,5,Steven addressed a letter during break.
42,4,shifted,nps,short,2,The dealer demonstrated at ten a car.
19,8,shifted,np,long,5,Jake released on Friday all of the facts for the import and export taxes.
22,24,unshifted,nps,long,4,Sam recommended an old treasure chest with some silver and gold trinkets on Sunday.
1,27,unshifted,nps,long,3,Bobby revealed the short documents to the old mansion on the hill at dusk.
2,24,unshifted,np,short,2,Sam donated a treasure on Sunday.
48,27,unshifted,np,short,2,Bobby transferred the deeds at dusk.
36,2,shifted,np,short,1,Mary returned at tea the ads.
25,2,unshifted,nps,long,4,Mary mentioned the used car ad for a Chevrolet with low mileage at tea.
26,13,shifted,np,long,4,The editor distributed at supper the first drafts of a long article and book review.
7,24,unshifted,nps,short,3,Sam recommended a treasure on Sunday.
8,7,shifted,nps,long,4,Donald proposed with joy some great front row center seats for the last performance.
11,28,shifted,nps,short,4,Kathy dictated last night the poem.
54,14,shifted,np,short,1,The president introduced on Monday the captain.
37,6,shifted,np,long,4,Robert relinquished last semester one round trip plane ticket from New York to Atlanta.
32,26,shifted,np,short,4,Janet transferred at dawn some graphs.
16,12,unshifted,nps,long,4,The lawyer acknowledged each piece of the evidence in the tax fraud cases with confidence.
20,22,unshifted,nps,short,4,Steven communicated a letter during break.
51,11,shifted,nps,long,4,The woman indicated by phone the best routes to the Santa Monica beach and pier.
21,20,shifted,np,long,4,David furnished with hesitation the facts on the strange bank robbery crimes in Utah.
29,9,shifted,np,long,3,Brian released at lunch all of the answers on the twenty point English quiz.
30,22,unshifted,nps,short,3,Steven communicated a letter during break.
47,6,shifted,nps,long,5,Robert proposed last semester one round trip plane ticket from New York to Atlanta.
3,13,shifted,np,long,1,The editor distributed at supper the first drafts of a long article and book review.
49,20,unshifted,nps,long,4,David reported the facts on the strange bank robbery crimes in Utah with hesitation.
34,9,shifted,np,short,1,Brian released at lunch the quiz.
24,14,shifted,nps,long,2,The president announced on Monday the new vice chair of the first corporate finance group.
44,4,unshifted,nps,long,3,The dealer demonstrated a brand new speedy silver sports car with chrome bumpers at ten.
5,28,unshifted,np,long,5,Kathy recited all three verses from an old and famous French poem last night.
35,12,shifted,nps,short,3,The lawyer acknowledged with confidence the dividends.
50,0,shifted,np,long,4,The manager presented at noon the new line of bright summer beach and resort fashions.
38,23,shifted,np,short,4,Raymond addressed very loudly a memo.
9,30,unshifted,nps,long,4,Amy broadcast the high school girls state swimming title in New York last week.
27,26,unshifted,np,long,4,Janet transferred some more specific plans for a brand new defense plant at dawn.
13,10,shifted,nps,short,5,Alex indicated in detail the offer.
41,30,shifted,np,long,4,Amy forfeited last week the high school girls state swimming title in New York.
17,21,shifted,np,short,1,Jessica furnished last summer the news.
43,20,shifted,nps,short,1,David reported with hesitation the facts.
28,2,shifted,np,long,4,Mary returned at tea the used car ad for a Chevrolet with low mileage.
1,21,unshifted,np,short,4,Jessica furnished the news last summer.
33,24,shifted,nps,short,2,Sam recommended on Sunday a treasure.
48,16,unshifted,np,long,5,Judy delivered a gorgeous red and black silk dress with sparkling sequins in March.
45,11,unshifted,nps,long,4,The woman indicated the best routes to the Santa Monica beach and pier by phone.
25,18,unshifted,np,long,4,Shelly carried top secret plans for a large fleet of defense missiles in May.
26,20,shifted,np,long,3,David furnished with hesitation the facts on the strange bank robbery crimes in Utah.
46,21,unshifted,nps,short,5,Jessica reported the news last summer.
6,3,shifted,nps,short,3,Mark mentioned very quickly the flyers.
7,22,unshifted,np,short,3,Steven addressed a letter during break.
10,23,shifted,nps,long,4,Raymond communicated very loudly a five page plan of withdrawal for the allied troops.
14,22,shifted,np,long,4,Steven addressed during break a seven page letter with many details of the trip.
39,0,unshifted,nps,short,2,The manager exhibited the styles at noon.
54,30,shifted,nps,short,1,Amy broadcast last week the game.
15,24,unshifted,nps,long,4,Sam recommended an old treasure chest with some silver and gold trinkets on Sunday.
42,21,shifted,nps,long,3,Jessica reported last summer the awful news of the refugees in the Far East.
20,28,unshifted,np,short,5,Kathy recited the poem last night.
51,23,unshifted,nps,short,3,Raymond communicated a memo very loudly.
47,7,unshifted,nps,long,5,Donald proposed some great front row center seats for the last performance with joy.
24,18,shifted,nps,short,1,Shelly disclosed in May notes.
44,13,shifted,nps,short,3,The editor acknowledged at supper the details.
36,27,shifted,np,short,1,Bobby transferred at dusk the deeds.
11,12,unshifted,np,short,5,The lawyer distributed the dividends with confidence.
12,11,shifted,nps,long,5,The woman indicated by phone the best routes to the Santa Monica beach and pier.
27,12,shifted,nps,long,3,The lawyer acknowledged with confidence each piece of the evidence in the tax fraud cases.
37,4,shifted,nps,short,2,The dealer demonstrated at ten a car.
40,0,unshifted,nps,long,4,The manager exhibited the new line of bright summer beach and resort fashions at noon.
16,2,unshifted,nps,long,3,Mary mentioned the used car ad for a Chevrolet with low mileage at tea.
18,19,shifted,nps,short,3,The woman disclosed in August the records.
19,18,shifted,np,short,1,Shelly carried in May notes.
28,7,unshifted,np,long,2,Donald relinquished some great front row center seats for the last performance with joy.
2,0,shifted,np,short,2,The manager presented at noon the styles.
53,23,unshifted,nps,long,4,Raymond communicated a five page plan of withdrawal for the allied troops very loudly.
4,15,unshifted,np,short,5,The teacher introduced the test with care.
5,23,shifted,np,short,2,Raymond addressed very loudly a memo.
35,6,shifted,nps,short,1,Robert proposed last semester one plane ticket.
46,28,shifted,nps,short,2,Kathy dictated last night the poem.
6,7,shifted,np,short,4,Donald relinquished with joy some drafts.
7,6,shifted,nps,long,4,Robert proposed last semester one round trip plane ticket from New York to Atlanta.
8,14,unshifted,nps,long,5,The president announced the new vice chair of the first corporate finance group on Monday.
9,6,unshifted,nps,short,4,Robert proposed one plane ticket last semester.
10,6,shifted,nps,short,1,Robert proposed last semester one plane ticket.
13,11,unshifted,nps,short,5,The woman indicated the route by phone.
14,31,shifted,nps,long,3,Jason broadcast with glee all of the winnings for the past seven horse races.
31,20,unshifted,np,short,3,David furnished the facts with hesitation.
54,17,unshifted,nps,short,2,Todd suggested some gifts at once.
15,13,unshifted,nps,short,4,The editor acknowledged the details at supper.
41,15,unshifted,nps,short,5,The teacher announced the test with care.
51,19,shifted,nps,long,3,The woman disclosed in August the birth and school records of the three young children.
29,4,unshifted,nps,long,3,The dealer demonstrated a brand new speedy silver sports car with chrome bumpers at ten.
30,24,unshifted,np,long,5,Sam donated an old treasure chest with some silver and gold trinkets on Sunday.
47,17,unshifted,nps,short,5,Todd suggested some gifts at once.
23,18,shifted,np,short,3,Shelly carried in May notes.
49,2,shifted,nps,long,2,Mary mentioned at tea the used car ad for a Chevrolet with low mileage.
24,29,shifted,nps,long,1,Mike dictated last year the words to a popular country song in the South.
44,19,shifted,np,short,2,The woman carried in August the records.
25,19,shifted,nps,long,4,The woman disclosed in August the birth and school records of the three young children.
50,6,shifted,np,short,2,Robert relinquished last semester one plane ticket.
11,21,unshifted,nps,short,5,Jessica reported the news last summer.
12,30,unshifted,nps,short,2,Amy broadcast the game last week.
37,27,shifted,np,long,3,Bobby transferred at dusk the short documents to the old mansion on the hill.
32,5,shifted,np,short,3,The manager transported at three the sports gear.
42,7,unshifted,np,long,4,Donald relinquished some great front row center seats for the last performance with joy.
43,9,shifted,np,long,3,Brian released at lunch all of the answers on the twenty point English quiz.
28,9,unshifted,nps,long,3,Brian explained all of the answers on the twenty point English quiz at lunch.
22,10,shifted,np,short,3,Alex described in detail the offer.
48,7,shifted,nps,short,2,Donald proposed with joy some drafts.
45,2,shifted,np,short,1,Mary returned at tea the ads.
35,16,shifted,nps,long,2,Judy suggested in March a gorgeous red and black silk dress with sparkling sequins.
46,2,unshifted,np,short,4,Mary returned the ads at tea.
38,18,shifted,nps,short,3,Shelly disclosed in May notes.
9,19,shifted,nps,short,2,The woman disclosed in August the records.
10,16,shifted,nps,long,4,Judy suggested in March a gorgeous red and black silk dress with sparkling sequins.
13,16,shifted,np,short,4,Judy delivered in March a dress.
52,22,shifted,nps,long,3,Steven communicated during break a seven page letter with many details of the trip.
31,13,unshifted,np,short,4,The editor distributed the details at supper.
39,7,shifted,np,short,4,Donald relinquished with joy some drafts.
54,31,unshifted,nps,short,5,Jason broadcast the race with glee.
41,22,unshifted,nps,short,5,Steven communicated a letter during break.
16,15,shifted,nps,short,1,The teacher announced with care the test.
17,29,shifted,np,short,1,Mike recited last year the words.
18,28,shifted,np,long,5,Kathy recited last night all three verses from an old and famous French poem.
19,31,unshifted,nps,long,5,Jason broadcast all of the winnings for the past seven horse races with glee.
20,7,unshifted,np,short,5,Donald relinquished some drafts with joy.
29,23,unshifted,np,long,2,Raymond addressed a five page plan of withdrawal for the allied troops very loudly.
30,0,shifted,np,long,3,The manager presented at noon the new line of bright summer beach and resort fashions.
2,8,shifted,nps,long,2,Jake explained on Friday all of the facts for the import and export taxes.
24,28,unshifted,np,long,2,Kathy recited all three verses from an old and famous French poem last night.
53,12,unshifted,nps,short,5,The lawyer acknowledged the dividends with confidence.
36,4,shifted,nps,long,1,The dealer demonstrated at ten a brand new speedy silver sports car with chrome bumpers.
25,22,shifted,nps,short,2,Steven communicated during break a letter.
14,16,unshifted,np,long,4,Judy delivered a gorgeous red and black silk dress with sparkling sequins in March.
15,12,shifted,nps,short,4,The lawyer acknowledged with confidence the dividends.
42,23,shifted,np,short,4,Raymond addressed very loudly a memo.
28,5,unshifted,nps,short,4,The manager demonstrated the sports gear at three.
3,22,shifted,nps,long,2,Steven communicated during break a seven page letter with many details of the trip.
48,28,shifted,nps,short,2,Kathy dictated last night the poem.
4,9,unshifted,np,short,5,Brian released the quiz at lunch.
5,6,shifted,np,long,3,Robert relinquished last semester one round trip plane ticket from New York to Atlanta.
26,18,unshifted,np,short,2,Shelly carried notes in May.
50,31,unshifted,np,long,4,Jason forfeited all of the winnings for the past seven horse races with glee.
38,17,unshifted,np,short,5,Todd delivered some gifts at once.
9,8,unshifted,np,long,4,Jake released all of the facts for the import and export taxes on Friday.
11,31,shifted,nps,long,5,Jason broadcast with glee all of the winnings for the past seven horse races.
27,20,unshifted,nps,long,4,David reported the facts on the strange bank robbery crimes in Utah with hesitation.
13,5,unshifted,nps,short,5,The manager demonstrated the sports gear at three.
52,14,unshifted,np,long,4,The president introduced the new vice chair of the first corporate finance group on Monday.
39,14,unshifted,np,short,5,The president introduced the captain on Monday.
54,20,unshifted,nps,long,4,David reported the facts on the strange bank robbery crimes in Utah with hesitation.
37,23,shifted,np,short,1,Raymond addressed very loudly a memo.
18,23,unshifted,nps,long,5,Raymond communicated a five page plan of withdrawal for the allied troops very loudly.
21,26,shifted,nps,short,4,Janet revealed at dawn some graphs.
22,28,unshifted,nps,short,5,Kathy dictated the poem last night.
30,9,unshifted,nps,short,5,Brian explained the quiz at lunch.
47,9,unshifted,np,short,5,Brian released the quiz at lunch.
45,4,shifted,nps,long,2,The dealer demonstrated at ten a brand new speedy silver sports car with chrome bumpers.
24,30,shifted,np,short,1,Amy forfeited last week the game.
36,1,unshifted,np,long,1,The contractor presented the plans for a lagoon and waterfall with red clay in July.
25,0,unshifted,nps,short,3,The manager exhibited the styles at noon.
46,24,shifted,nps,long,2,Sam recommended on Sunday an old treasure chest with some silver and gold trinkets.
6,23,unshifted,nps,short,5,Raymond communicated a memo very loudly.
7,11,unshifted,np,long,2,The woman described the best routes to the Santa Monica beach and pier by phone.
10,13,unshifted,nps,short,5,The editor acknowledged the details at supper.
12,8,unshifted,np,short,5,Jake released the figures on Friday.
14,5,shifted,np,short,2,The manager transported at three the sports gear.
40,20,shifted,np,long,4,David furnished with hesitation the facts on the strange bank robbery crimes in Utah.
16,20,shifted,np,short,2,David furnished with hesitation the facts.
28,23,shifted,np,short,2,Raymond addressed very loudly a memo.
3,24,shifted,np,short,2,Sam donated on Sunday a treasure.
49,21,shifted,np,short,1,Jessica furnished last summer the news.
34,10,unshifted,nps,short,5,Alex indicated the offer in detail.
53,22,shifted,nps,long,1,Steven communicated during break a seven page letter with many details of the trip.
26,28,shifted,np,long,2,Kathy recited last night all three verses from an old and famous French poem.
35,19,unshifted,np,short,4,The woman carried the records in August.
50,8,shifted,nps,short,4,Jake explained on Friday the figures.
38,21,shifted,nps,long,4,Jessica reported last summer the awful news of the refugees in the Far East.
9,14,unshifted,np,long,5,The president introduced the new vice chair of the first corporate finance group on Monday.
27,27,shifted,nps,long,2,Bobby revealed at dusk the short documents to the old mansion on the hill.
52,29,unshifted,np,long,5,Mike recited the words to a popular country song in the South last year.
31,7,unshifted,np,short,1,Donald relinquished some drafts with joy.
54,8,shifted,np,short,1,Jake released on Friday the figures.
37,29,shifted,nps,long,4,Mike dictated last year the words to a popular country song in the South.
42,27,shifted,np,long,3,Bobby transferred at dusk the short documents to the old mansion on the hill.
43,6,unshifted,np,short,4,Robert relinquished one plane ticket last semester.
20,6,shifted,np,short,2,Robert relinquished last semester one plane ticket.
51,28,shifted,np,short,4,Kathy recited last night the poem.
1,30,unshifted,nps,short,4,Amy broadcast the game last week.
47,14,shifted,np,short,4,The president introduced on Monday the captain.
2,7,unshifted,np,long,2,Donald relinquished some great front row center seats for the last performance with joy.
23,15,unshifted,np,long,2,The teacher introduced some hard math concepts for the one hundred point final with care.
48,12,unshifted,np,short,5,The lawyer distributed the dividends with confidence.
45,21,shifted,nps,short,2,Jessica reported last summer the news.
36,7,unshifted,np,short,5,Donald relinquished some drafts with joy.
46,16,unshifted,np,long,4,Judy delivered a gorgeous red and black silk dress with sparkling sequins in March.
8,30,unshifted,np,short,5,Amy forfeited the game last week.
10,17,unshifted,nps,long,2,Todd suggested a large package with lots of presents for small children at once.
40,6,unshifted,nps,short,4,Robert proposed one plane ticket last semester.
15,15,unshifted,np,long,3,The teacher introduced some hard math concepts for the one hundred point final with care.
41,18,shifted,nps,long,4,Shelly disclosed in May top secret plans for a large fleet of defense missiles.
19,6,shifted,nps,short,2,Robert proposed last semester one plane ticket.
30,5,unshifted,nps,long,4,The manager demonstrated the new sports line of running shoes and bicycling gear at three.
49,10,shifted,np,long,3,Alex described in detail each of the key points of conflict in an interview.
34,22,shifted,np,short,5,Steven addressed during break a letter.
4,22,unshifted,np,short,5,Steven addressed a letter during break.
26,1,shifted,np,short,1,The contractor presented in July the display.
50,17,unshifted,np,long,4,Todd delivered a large package with lots of presents for small children at once.
38,9,unshifted,nps,long,4,Brian explained all of the answers on the twenty point English quiz at lunch.
9,29,unshifted,np,long,4,Mike recited the words to a popular country song in the South last year.
27,16,shifted,nps,short,1,Judy suggested in March a dress.
13,23,shifted,np,short,2,Raymond addressed very loudly a memo.
39,29,unshifted,np,short,5,Mike recited the words last year.
54,16,shifted,nps,short,1,Judy suggested in March a dress.
16,8,unshifted,np,short,5,Jake released the figures on Friday.
42,16,shifted,np,short,4,Judy delivered in March a dress.
18,29,unshifted,np,long,3,Mike recited the words to a popular country song in the South last year.
51,8,unshifted,np,short,4,Jake released the figures on Friday.
22,6,shifted,nps,short,2,Robert proposed last semester one plane ticket.
24,22,unshifted,nps,long,2,Steven communicated a seven page letter with many details of the trip during break.
53,21,unshifted,np,long,1,Jessica furnished the awful news of the refugees in the Far East last summer.
5,22,unshifted,nps,long,4,Steven communicated a seven page letter with many details of the trip during break.
46,7,shifted,nps,short,1,Donald proposed with joy some drafts.
10,27,shifted,nps,short,3,Bobby revealed at dusk the deeds.
11,15,shifted,np,long,5,The teacher introduced with care some hard math concepts for the one hundred point final.
52,26,shifted,nps,short,2,Janet revealed at dawn some graphs.
37,21,shifted,nps,long,4,Jessica reported last summer the awful news of the refugees in the Far East.
40,19,shifted,nps,short,4,The woman disclosed in August the records.
32,17,shifted,nps,long,3,Todd suggested at once a large package with lots of presents for small children.
43,21,unshifted,nps,short,5,Jessica reported the news last summer.
20,24,unshifted,np,long,5,Sam donated an old treasure chest with some silver and gold trinkets on Sunday.
28,16,shifted,np,short,1,Judy delivered in March a dress.
21,15,shifted,nps,long,4,The teacher announced with care some hard math concepts for the one hundred point final.
47,18,shifted,np,long,4,Shelly carried in May top secret plans for a large fleet of defense missiles.
2,30,shifted,np,short,2,Amy forfeited last week the game.
49,1,unshifted,nps,short,4,The contractor exhibited the display in July.
36,17,unshifted,np,long,1,Todd delivered a large package with lots of presents for small children at once.
25,28,shifted,np,short,4,Kathy recited last night the poem.
4,17,unshifted,nps,short,5,Todd suggested some gifts at once.
6,18,unshifted,np,long,5,Shelly carried top secret plans for a large fleet of defense missiles in May.
7,20,unshifted,nps,long,2,David reported the facts on the strange bank robbery crimes in Utah with hesitation.
38,1,unshifted,np,short,5,The contractor presented the display in July.
14,11,shifted,np,short,4,The woman described by phone the route.
16,26,shifted,nps,long,4,Janet revealed at dawn some more specific plans for a brand new defense plant.
17,8,shifted,np,short,1,Jake released on Friday the figures.
18,30,unshifted,nps,long,3,Amy broadcast the high school girls state swimming title in New York last week.
19,5,unshifted,np,short,4,The manager transported the sports gear at three.
29,5,shifted,np,short,1,The manager transported at three the sports gear.
3,19,shifted,nps,short,2,The woman disclosed in August the records.
34,15,shifted,np,short,4,The teacher introduced with care the test.
53,3,shifted,nps,long,3,Mark mentioned very quickly the flyers for some lectures and slide shows on campus.
44,5,shifted,np,short,3,The manager transported at three the sports gear.
5,4,shifted,nps,short,2,The dealer demonstrated at ten a car.
35,10,shifted,np,short,3,Alex described in detail the offer.
46,13,shifted,nps,short,1,The editor acknowledged at supper the details.
50,16,shifted,np,long,5,Judy delivered in March a gorgeous red and black silk dress with sparkling sequins.
10,30,shifted,nps,long,2,Amy broadcast last week the high school girls state swimming title in New York.
11,29,unshifted,nps,short,5,Mike dictated the words last year.
52,18,unshifted,np,short,4,Shelly carried notes in May.
31,4,shifted,nps,long,3,The dealer demonstrated at ten a brand new speedy silver sports car with chrome bumpers.
39,16,unshifted,nps,short,5,Judy suggested a dress in March.
37,9,unshifted,nps,long,5,Brian explained all of the answers on the twenty point English quiz at lunch.
43,12,unshifted,np,short,5,The lawyer distributed the dividends with confidence.
28,1,unshifted,np,short,4,The contractor presented the display in July.
